contacts,race,age,sex,year,number
0.023787859,all,cat1,all,2019,183
0.202238577,all,cat2,all,2019,2638
0.316540602,all,cat3,all,2019,2218
0.22645415,all,cat4,all,2019,1094
0.274774775,all,cat5,all,2019,1037
0.047683009,black,all,all,2019,710
0.01676198,hispanic,all,all,2019,170
0.029513122,other,all,all,2019,334
0.046689629,all,all,heterosexual_male,2019,122
0.024777729,all,all,female,2019,170
0.022026432,all,all,msm,2019,525
0.002256245,all,cat1,all,2020,14
0.039943568,all,cat2,all,2020,453
0.063023057,all,cat3,all,2020,369
0.037876836,all,cat4,all,2020,147
0.047741109,all,cat5,all,2020,149
0.041026056,black,all,all,2020,507
0.034664117,hispanic,all,all,2020,290
0.040190102,other,all,all,2020,389
0.043154762,all,all,heterosexual_male,2020,87
0.04193608,all,all,female,2020,227
0.016326332,all,all,msm,2020,335
0.002969877,all,cat1,all,2021,21
0.022742883,all,cat2,all,2021,298
0.033532934,all,cat3,all,2021,252
0.021266865,all,cat4,all,2021,93
0.022966766,all,cat5,all,2021,85
0.026566806,black,all,all,2021,376
0.013872832,hispanic,all,all,2021,144
0.02252894,other,all,all,2021,253
0.044934641,all,all,heterosexual_male,2021,110
0.017199017,all,all,female,2021,112
0.01575397,all,all,msm,2021,376
