eligible,race,age,sex,year,number
0.423,all,cat1,all,2022,9377.00
0.444,all,cat2,all,2022,86360.00
0.466,all,cat3,all,2022,67384.00
0.445,all,cat4,all,2022,33983.00
0.42,all,cat5,all,2022,33984.00
0.433,black,all,all,2022,33832.00
0.483,hispanic,all,all,2022,18681.00
0.450680465,other,all,all,2022,27784.00
0.346,all,all,heterosexual_male,2022,17322.00
0.391,all,all,female,2022,18417.00
0.566,all,all,msm,2022,29950.00
0.45,all,cat1,all,2021,7248.00
0.572,all,cat2,all,2021,70647.00
0.579,all,cat3,all,2021,53220.00
0.562,all,cat4,all,2021,26322.00
0.524,all,cat5,all,2021,25560.00
0.568,black,all,all,2021,78862.00
0.569,hispanic,all,all,2021,38731.00
0.546666313,other,all,all,2021,61887.00
0.544,all,all,heterosexual_male,2021,50196.00
0.492,all,all,female,2021,47220.00
0.744,all,all,msm,2021,53064.00
0.459,all,cat1,all,2020,4622.00
0.555,all,cat2,all,2020,43873.00
0.555,all,cat3,all,2020,29683.00
0.529,all,cat4,all,2020,14416.00
0.497,all,cat5,all,2020,13693.00
0.536,black,all,all,2020,44927.00
0.506,hispanic,all,all,2020,44077.00
0.555,other,all,all,2020,38093.00
0.465,all,all,heterosexual_male,2020,26430.00
0.469,all,all,female,2020,26503.00
0.724,all,all,msm,2020,36823.00
