referrals,race,age,sex,year,number
0.482,all,cat1,all,2022,"4,501"
0.512,all,cat2,all,2022,"43,621"
0.511,all,cat3,all,2022,"33,829"
0.473,all,cat4,all,2022,"15,714"
0.462,all,cat5,all,2022,"15,254"
0.521,black,all,all,2022,"48,195"
0.479,hispanic,all,all,2022,"23,902"
0.568,other,all,all,2022,37571
0.454256124,all,all,heterosexual_male,2022,"25,834"
0.482954633,all,all,female,2022,31266
0.569328453,all,all,msm,2022,"38,108"
0.423,all,cat1,all,2021,3060
0.444,all,cat2,all,2021,31295
0.466,all,cat3,all,2021,24753
0.445,all,cat4,all,2021,11706
0.42,all,cat5,all,2021,10720
0.433,black,all,all,2021,"33,832"
0.483,hispanic,all,all,2021,"18,681"
0.450680465,other,all,all,2021,27784
0.346,all,all,heterosexual_male,2021,"17,322"
0.391,all,all,female,2021,"18,417"
0.566,all,all,msm,2021,"29,950"
0.389,all,cat1,all,2020,"1,788"
0.416,all,cat2,all,2020,"18,089"
0.435,all,cat3,all,2020,"12,783"
0.425,all,cat4,all,2020,"6,073"
0.422,all,cat5,all,2020,"5,726"
0.421,black,all,all,2020,"18,773"
0.434,hispanic,all,all,2020,"9,654"
0.418,other,all,all,2020,15738
0.396,all,all,heterosexual_male,2020,"10,408"
0.344,all,all,female,2020,"9,037"
0.485,all,all,msm,2020,"17,639"
