"Record.ID","Survey.Identifier","Survey.Timestamp","q1_adap_loss","X.choice.I.dont.know.","q2_oahs_loss","X.choice.I.dont.know..1","q3_support_loss","X.choice.I.dont.know..2","q4_rural_percentage","X.choice.I.dont.know..3","X.choice.Alabama.","X.choice.Alaska.","X.choice.Arizona.","X.choice.Arkansas.","X.choice.California.","X.choice.Colorado.","X.choice.Connecticut.","X.choice.Delaware.","X.choice.District.of.Columbia.","X.choice.Florida.","X.choice.Georgia.","X.choice.Hawaii.","X.choice.Idaho.","X.choice.Illinois.","X.choice.Indiana.","X.choice.Iowa.","X.choice.Kansas.","X.choice.Kentucky.","X.choice.Louisiana.","X.choice.Maine.","X.choice.Maryland.","X.choice.Massachusetts.","X.choice.Michigan.","X.choice.Minnesota.","X.choice.Mississippi.","X.choice.Missouri.","X.choice.Montana.","X.choice.Nebraska.","X.choice.Nevada.","X.choice.New.Hampshire.","X.choice.New.Jersey.","X.choice.New.Mexico.","X.choice.New.York.","X.choice.North.Carolina.","X.choice.North.Dakota.","X.choice.Ohio.","X.choice.Oklahoma.","X.choice.Oregon.","X.choice.Pennsylvania.","X.choice.Rhode.Island.","X.choice.South.Carolina.","X.choice.South.Dakota.","X.choice.Tennessee.","X.choice.Texas.","X.choice.Utah.","X.choice.Vermont.","X.choice.Virginia.","X.choice.Washington.","X.choice.West.Virginia.","X.choice.Wisconsin.","X.choice.Wyoming.","NA.","NA..1"
1,NA,"2025-02-25 23:10:29",25,0,10,0,5,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
2,NA,"2025-02-26 01:01:35",95,0,NA,1,NA,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"factor in the COST of new infections, which will inevitably come if funding for treatment is cut","Complete"
3,NA,"2025-02-26 15:17:18",40,0,10,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
4,NA,"2025-02-26 17:21:21",100,0,50,0,100,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
5,NA,"2025-02-26 18:14:15",100,0,40,0,60,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I think its clear we will have HIV outbreaks across the U.S. in multiple populations, healthcare costs will rise and people will die including children, actors, athletes, politicians and more. ","Complete"
6,NA,"2025-02-26 18:18:07",50,0,100,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
7,NA,"2025-02-26 18:18:57",80,0,20,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
8,NA,"2025-02-26 19:28:22",60,0,65,0,75,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
9,NA,"2025-02-26 20:51:03",25,0,10,0,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Complete"
10,NA,"2025-02-26 22:30:47",60,0,50,0,40,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Complete"
