,0–100%,,101–138%,,139–250%,,251–400%,,>400%,
,N,%,N,%,N,%,N,%,N,%
Age group (yrs),,,,,,,,,,
<13,81,0.1,13,<0.1,30,<0.1,28,0.1,9,0.1
13–14,29,<0.1,3,<0.1,10,<0.1,14,<0.1,5,0.1
15–19,434,0.3,44,0.2,77,0.1,43,0.1,5,0.1
20–24,"5,442",3.9,594,2.1,"1,626",2.4,637,1.6,53,0.6
25–29,"13,810",9.8,"1,677",5.9,"5,123",7.4,"3,078",7.6,483,5.7
30–34,"18,364",13,"2,246",8,"7,147",10.4,"4,844",12,959,11.4
35–39,"16,552",11.8,"2,271",8,"6,359",9.2,"4,365",10.8,927,11
40–44,"16,204",11.5,"2,568",9.1,"6,223",9,"4,052",10.1,878,10.4
45–49,"15,602",11.1,"2,723",9.6,"6,573",9.5,"4,271",10.6,930,11
50–54,"17,861",12.7,"3,753",13.3,"8,471",12.3,"5,417",13.4,"1,223",14.5
55–59,"16,945",12,"4,377",15.5,"9,857",14.3,"5,577",13.8,"1,215",14.4
60–64,"10,947",7.8,"3,543",12.5,"7,802",11.3,"3,834",9.5,834,9.9
≥65,"8,580",6.1,"4,429",15.7,"9,677",14,"4,121",10.2,910,10.8
Subtotal,"140,851",100,"28,241",100,"68,975",100,"40,281",100,"8,431",100
