,0–100% FPL,,101–138% FPL,,139–250% FPL,,251–400% FPL,,>400% FPL,
,N,%,N,%,N,%,N,%,N,%
Age group (yrs),,,,,,,,,,
<13,62,<0.1,3,<0.1,30,<0.1,22,<0.1,7,0.1
13–14,24,<0.1,3,<0.1,9,<0.1,14,<0.1,3,<0.1
15–19,298,0.2,28,0.1,76,0.1,50,0.1,6,0.1
20–24,"4,611",3.5,542,2,"1,572",2.3,656,1.5,83,0.8
25–29,"12,153",9.1,"1,406",5.2,"4,831",7,"3,289",7.4,570,5.3
30–34,"17,601",13.2,"2,104",7.8,"7,058",10.2,"5,385",12.2,"1,202",11.1
35–39,"16,104",12.1,"2,133",7.9,"6,355",9.2,"4,923",11.1,"1,196",11.1
40–44,"15,439",11.6,"2,387",8.8,"6,337",9.2,"4,538",10.2,"1,187",11
45–49,"14,259",10.7,"2,470",9.1,"6,146",8.9,"4,398",9.9,"1,122",10.4
50–54,"16,405",12.3,"3,331",12.3,"7,854",11.4,"5,592",12.6,"1,469",13.6
55–59,"16,299",12.2,"4,217",15.6,"9,538",13.8,"5,955",13.4,"1,574",14.6
60–64,"11,082",8.3,"3,669",13.6,"8,087",11.7,"4,389",9.9,"1,147",10.6
≥65,"9,280",6.9,"4,762",17.6,"11,087",16.1,"5,075",11.5,"1,241",11.5
Subtotal,"133,617",100,"27,055",100,"68,980",100,"44,286",100,"10,807",100
