,0–100% FPL,,101–138% FPL,,139–250% FPL,,251–400% FPL,,>400% FPL,
,N,%,N,%,N,%,N,%,N,%
Age group (yrs),,,,,,,,,,
<13,53,<0.1,8,<0.1,28,<0.1,21,<0.1,12,0.1
13–14,15,<0.1,1,<0.1,10,<0.1,18,<0.1,2,<0.1
15–19,327,0.3,31,0.1,78,0.1,53,0.1,10,0.1
20–24,"3,993",3.2,494,1.8,"1,531",2.2,759,1.5,130,1
25–29,"10,630",8.6,"1,252",4.7,"4,569",6.5,"3,456",7,707,5.4
30–34,"16,592",13.4,"2,038",7.6,"7,169",10.1,"5,881",11.9,"1,499",11.5
35–39,"15,181",12.3,"2,171",8.1,"6,640",9.4,"5,571",11.3,"1,521",11.7
40–44,"14,155",11.5,"2,365",8.8,"6,395",9,"5,181",10.5,"1,513",11.6
45–49,"12,832",10.4,"2,269",8.5,"6,214",8.8,"4,906",9.9,"1,299",10
50–54,"14,367",11.6,"3,002",11.2,"7,581",10.7,"5,874",11.9,"1,662",12.8
55–59,"14,744",11.9,"3,928",14.6,"9,218",13,"6,478",13.1,"1,765",13.6
60–64,"10,954",8.9,"3,780",14.1,"8,612",12.2,"5,166",10.5,"1,359",10.4
≥65,"9,765",7.9,"5,493",20.5,"12,653",17.9,"5,995",12.1,"1,539",11.8
Subtotal,"123,608",100,"26,832",100,"70,698",100,"49,359",100,"13,018",100
