,full pay n,full pay %,premium n,premium %,copay n,copay %,multiple n,multiple %,total n
Age group (yrs),,,,,,,,,
<13,24,37.5,0,0,22,34.4,18,28.1,64
13–14,12,31.6,2,5.3,16,42.1,8,21.1,38
15–19,215,68.7,9,2.9,49,15.7,40,12.8,313
20–24,"3,492",70.5,165,3.3,404,8.2,892,18,"4,953"
25–29,"9,943",63.5,732,4.7,"1,296",8.3,"3,697",23.6,"15,668"
30–34,"15,204",59.4,"1,366",5.3,"2,316",9,"6,713",26.2,"25,599"
35–39,"13,608",55.6,"1,472",6,"2,452",10,"6,942",28.4,"24,474"
40–44,"12,577",53.6,"1,351",5.8,"2,648",11.3,"6,891",29.4,"23,467"
45–49,"10,994",49.7,"1,303",5.9,"2,880",13,"6,949",31.4,"22,126"
50–54,"11,179",42.6,"1,570",6,"4,326",16.5,"9,146",34.9,"26,221"
55–59,"10,187",35.3,"1,835",6.4,"6,385",22.1,"10,422",36.2,"28,829"
60–64,"6,689",28,"1,566",6.6,"6,454",27,"9,171",38.4,"23,880"
≥65,"4,139",14.3,"1,277",4.4,"13,032",45.1,"10,478",36.2,"28,926"
Subtotal,"98,263",43.8,"12,648",5.6,"42,280",18.8,"71,367",31.8,"224,558"
Race/ethnicity,,,,,,,,,
American Indian/Alaska Native,219,33.4,59,9,191,29.2,186,28.4,655
Asian,"1,401",35.2,238,6,888,22.3,"1,453",36.5,"3,980"
Black/African American,"37,521",46.6,"5,016",6.2,"13,939",17.3,"24,127",29.9,"80,603"
Hispanic/Latinob,"43,332",60.8,"2,715",3.8,"7,838",11,"17,400",24.4,"71,285"
Native Hawaiian/Pacific Islander,126,34.7,22,6.1,91,25.1,124,34.2,363
White,"13,743",21.6,"4,384",6.9,"18,649",29.4,"26,714",42.1,"63,490"
Multiple races,397,23.3,141,8.3,469,27.6,694,40.8,"1,701"
Subtotal,"96,739",43.6,"12,575",5.7,"42,065",18.9,"70,698",31.8,"222,077"
Sex,,,,,,,,,
Male,"76,501",43.1,"9,994",5.6,"33,936",19.1,"57,086",32.2,"177,517"
Female,"19,387",45.1,"2,435",5.7,"7,949",18.5,"13,245",30.8,"43,016"
Transgender male,165,46.7,24,6.8,43,12.2,121,34.3,353
Transgender female,"1,772",56.9,177,5.7,316,10.2,847,27.2,"3,112"
Other gender identity,317,79.6,12,3,17,4.3,52,13.1,398
Subtotal,"98,142",43.7,"12,642",5.6,"42,261",18.8,"71,351",31.8,"224,396"
Federal poverty level,,,,,,,,,
0–100%,"59,491",66.1,"3,693",4.1,"8,211",9.1,"18,583",20.7,"89,978"
101–138%,"7,209",35.7,"1,292",6.4,"5,512",27.3,"6,200",30.7,"20,213"
139–250%,"18,095",30.9,"3,887",6.6,"13,661",23.3,"22,907",39.1,"58,550"
251–400%,"8,907",21.4,"2,879",6.9,"11,088",26.7,"18,710",45,"41,584"
>400%,"1,821",16.8,730,6.7,"3,553",32.7,"4,745",43.7,"10,849"
Subtotal,"95,523",43.2,"12,481",5.6,"42,025",19,"71,145",32.2,"221,174"
Total,"98,263",,"12,648",,"42,280",,"71,367",,"224,558"
