,american_indian_alaska_native,pct,asian,pct,black,pct,hispanic,pct,native_hawaiian_pacific_islander,pct,white,pct,multiple_races,pct
Age group (yrs),,,,,,,,,,,,,,
<13,0,0,13,0.2,63,0.1,39,<0.1,0,0,19,<0.1,6,0.2
13–14,0,0,2,<0.1,28,<0.1,10,<0.1,0,0,5,<0.1,0,0
15–19,7,0.6,27,0.5,328,0.3,250,0.3,1,0.2,55,0.1,15,0.6
20–24,25,2.3,130,2.4,"3,536",3,"2,779",3,16,3.2,918,1.1,98,3.7
25–29,94,8.5,413,7.7,"10,085",8.7,"8,312",8.8,35,6.9,"3,332",3.9,246,9.2
30–34,129,11.7,680,12.6,"16,523",14.2,"12,815",13.6,56,11.1,"6,602",7.7,382,14.3
35–39,111,10,719,13.3,"14,806",12.7,"12,832",13.6,50,9.9,"7,158",8.3,303,11.4
40–44,113,10.2,682,12.6,"11,858",10.2,"12,153",12.9,58,11.5,"7,189",8.3,296,11.1
45–49,97,8.8,649,12,"11,013",9.5,"11,020",11.7,56,11.1,"6,616",7.7,212,8
50–54,128,11.6,705,13.1,"11,696",10.1,"10,383",11,54,10.7,"9,031",10.5,260,9.8
55–59,136,12.3,486,9,"12,751",11,"9,936",10.6,70,13.9,"12,498",14.5,294,11
60–64,125,11.3,359,6.7,"11,003",9.5,"7,206",7.7,53,10.5,"13,422",15.6,245,9.2
≥65,141,12.7,529,9.8,"12,631",10.9,"6,421",6.8,56,11.1,"19,424",22.5,308,11.6
Subtotal,"1,106",100,"5,394",100,"116,321",100,"94,156",100,505,100,"86,269",100,"2,665",100
Gender,,,,,,,,,,,,,,
Male,840,78.8,"4,371",82.9,"80,026",70.4,"77,178",84.1,409,84.5,"74,505",87.3,"2,057",79.6
Female,226,21.2,903,17.1,"33,693",29.6,"14,640",15.9,75,15.5,"10,870",12.7,528,20.4
Subtotal,"1,066",100,"5,274",100,"113,719",100,"91,818",100,484,100,"85,375",100,"2,585",100
Federal poverty level,,,,,,,,,,,,,,
0–100%,537,48.9,"1,943",36.4,"53,526",48.3,"48,140",51.4,163,32.9,"28,199",33.3,"1,006",38.3
101–138%,117,10.7,457,8.6,"9,711",8.8,"8,115",8.7,69,13.9,"9,566",11.3,247,9.4
139–250%,264,24,"1,364",25.5,"25,816",23.3,"21,397",22.9,136,27.4,"26,155",30.9,693,26.4
251–400%,148,13.5,"1,179",22.1,"17,860",16.1,"13,233",14.1,101,20.4,"16,548",19.5,553,21
>400%,32,2.9,402,7.5,"3,997",3.6,"2,732",2.9,27,5.4,"4,238",5,129,4.9
Subtotal,"1,098",100,"5,345",100,"110,910",100,"93,617",100,496,100,"84,706",100,"2,628",100
