,male,pct,female,pct,total,pct
Age group (yrs),,,,,,
<13,68,<0.1,76,0.1,144,<0.1
13–14,18,<0.1,27,<0.1,45,<0.1
15–19,485,0.2,196,0.3,681,0.2
20–24,"6,423",2.7,961,1.6,"7,384",2.4
25–29,"19,701",8.1,"2,413",3.9,"22,114",7.3
30–34,"32,262",13.3,"4,243",6.9,"36,505",12
35–39,"29,961",12.4,"5,460",8.9,"35,421",11.7
40–44,"24,853",10.3,"7,125",11.6,"31,978",10.5
45–49,"21,160",8.7,"8,200",13.3,"29,360",9.7
50–54,"23,428",9.7,"8,659",14.1,"32,087",10.6
55–59,"27,741",11.5,"8,318",13.5,"36,059",11.9
60–64,"25,177",10.4,"7,201",11.7,"32,378",10.7
≥65,"30,887",12.8,"8,644",14.1,"39,531",13
Subtotal,"242,164",100,"61,523",100,"303,687",100
Race/ethnicity,,,,,,
American Indian/Alaska Native,840,0.4,226,0.4,"1,066",0.4
Asian,"4,371",1.8,903,1.5,"5,274",1.8
Black/African American,"80,026",33.4,"33,693",55.3,"113,719",37.9
Hispanic/Latinob,"77,178",32.2,"14,640",24,"91,818",30.6
Native Hawaiian/Pacific Islander,409,0.2,75,0.1,484,0.2
White,"74,505",31.1,"10,870",17.8,"85,375",28.4
Multiple races,"2,057",0.9,528,0.9,"2,585",0.9
Subtotal,"239,386",100,"60,935",100,"300,321",100
Federal poverty level,,,,,,
0–100%,"100,067",42.5,"31,020",51.5,"131,087",44.4
101–138%,"22,363",9.5,"5,716",9.5,"28,079",9.5
139–250%,"61,939",26.3,"13,424",22.3,"75,363",25.5
251–400%,"41,177",17.5,"8,244",13.7,"49,421",16.7
>400%,"9,738",4.1,"1,822",3,"11,560",3.9
Subtotal,"235,284",100,"60,226",100,"295,510",100
