,0-100% n,0-100% %,101-138% n,101-138% %,139-250% n,139-250% %,251-400% n,251-400% %,>400% n,>400% %
Age group (yrs),,,,,,,,,,
<13,78,0.1,9,<0.1,29,<0.1,19,<0.1,8,0.1
13–14,20,<0.1,5,<0.1,4,<0.1,10,<0.1,5,<0.1
15–19,469,0.3,49,0.2,99,0.1,67,0.1,7,0.1
20–24,"4,444",3.3,552,1.9,"1,673",2.2,724,1.4,75,0.6
25–29,"11,725",8.7,"1,408",4.9,"5,071",6.6,"3,324",6.6,566,4.8
30–34,"18,670",13.8,"2,245",7.9,"7,946",10.4,"6,044",12.1,"1,366",11.7
35–39,"17,659",13.1,"2,439",8.6,"7,628",10,"5,915",11.8,"1,471",12.6
40–44,"15,836",11.7,"2,454",8.6,"6,929",9.1,"5,237",10.5,"1,293",11.1
45–49,"14,074",10.4,"2,468",8.7,"6,557",8.6,"4,941",9.9,"1,160",9.9
50–54,"14,272",10.6,"2,962",10.4,"7,598",9.9,"5,544",11.1,"1,397",12
55–59,"14,843",11,"3,786",13.3,"9,212",12.1,"6,314",12.6,"1,548",13.2
60–64,"11,964",8.9,"4,030",14.1,"9,416",12.3,"5,424",10.8,"1,240",10.6
≥65,"10,827",8,"6,081",21.3,"14,274",18.7,"6,485",13,"1,551",13.3
Subtotal,"134,881",100,"28,488",100,"76,436",100,"50,048",100,"11,687",100
