,full pay n,full pay %,premum n,premium %,copay n,copay %,multiple n,multiple %,total n
Age group (yrs),,,,,,,,,
<13,46,52.9,2,2.3,22,25.3,17,19.5,87
13–14,16,51.6,1,3.2,7,22.6,7,22.6,31
15–19,340,76.6,4,0.9,52,11.7,48,10.8,444
20–24,"4,136",74.1,225,4,436,7.8,783,14,"5,580"
25–29,"11,700",68.3,787,4.6,"1,252",7.3,"3,380",19.7,"17,119"
30–34,"17,891",63,"1,546",5.4,"2,380",8.4,"6,585",23.2,"28,402"
35–39,"16,269",59,"1,640",5.9,"2,559",9.3,"7,113",25.8,"27,581"
40–44,"14,098",56.1,"1,497",6,"2,781",11.1,"6,771",26.9,"25,147"
45–49,"12,462",53.1,"1,401",6,"2,903",12.4,"6,698",28.5,"23,464"
50–54,"11,556",45.6,"1,502",5.9,"4,030",15.9,"8,276",32.6,"25,364"
55–59,"10,565",37.4,"1,845",6.5,"6,093",21.6,"9,743",34.5,"28,246"
60–64,"7,564",29.8,"1,676",6.6,"6,798",26.8,"9,343",36.8,"25,381"
≥65,"4,641",14.8,"1,347",4.3,"14,562",46.6,"10,715",34.3,"31,265"
Subtotal,"111,284",46.7,"13,473",5.7,"43,875",18.4,"69,479",29.2,"238,111"
Race/ethnicity,,,,,,,,,
American Indian/Alaska Native,244,35.8,50,7.3,184,27,203,29.8,681
Asian,"1,650",38.8,256,6,899,21.1,"1,451",34.1,"4,256"
Black/African American,"42,069",49.5,"5,479",6.4,"14,384",16.9,"23,122",27.2,"85,054"
Hispanic/Latinob,"49,347",63.1,"2,954",3.8,"7,963",10.2,"17,914",22.9,"78,178"
Native Hawaiian/Pacific Islander,133,34.4,22,5.7,103,26.6,129,33.3,387
White,"15,673",24,"4,452",6.8,"19,611",30.1,"25,516",39.1,"65,252"
Multiple races,486,26.2,170,9.2,510,27.5,690,37.2,"1,856"
Subtotal,"109,602",46.5,"13,383",5.7,"43,654",18.5,"69,025",29.3,"235,664"
Sex,,,,,,,,,
Male,"86,203",45.9,"10,621",5.7,"35,235",18.8,"55,636",29.6,"187,695"
Female,"22,292",48.6,"2,647",5.8,"8,203",17.9,"12,735",27.8,"45,877"
Subtotal,"108,495",46.5,"13,268",5.7,"43,438",18.6,"68,371",29.3,"233,572"
Federal poverty level,,,,,,,,,
0–100%,"68,953",70.2,"3,710",3.8,"7,518",7.7,"17,981",18.3,"98,162"
101–138%,"8,302",39,"1,229",5.8,"5,822",27.4,"5,931",27.9,"21,284"
139–250%,"20,856",32.6,"4,282",6.7,"15,308",24,"23,461",36.7,"63,907"
251–400%,"9,446",22.5,"3,117",7.4,"11,554",27.5,"17,830",42.5,"41,947"
>400%,"1,440",14.9,725,7.5,"3,458",35.8,"4,025",41.7,"9,648"
Subtotal,"108,997",46.4,"13,063",5.6,"43,660",18.6,"69,228",29.5,"234,948"
Totalc,"111,284",46.7,"13,473",5.7,"43,875",18.4,"69,479",29.2,"238,111"
