Grant Recipient,Jurisdiction,EHE Focus County(ies) or State,Award Amount
"Atlanta, GA EMA","Atlanta, GA",Cobb County; DeKalb County; Fulton County; Gwinnett County,"$5,079,513 "
"Baltimore, MD EMA","Baltimore, MD",Baltimore City,"$2,878,672 "
"Boston, MA EMA","Boston, MA",Suffolk County,"$2,854,962 "
"Chicago, IL EMA","Chicago, IL",Cook County,"$4,647,156 "
"Dallas, TX EMA","Dallas, TX",Dallas County,"$3,468,631 "
"Detroit, MI EMA","Detroit, MI",Wayne County,"$2,406,807 "
"Ft. Lauderdale, FL EMA","Fort Lauderdale, FL",Broward County,"$3,182,717 "
"Houston, TX EMA","Houston, TX",Harris County,"$4,585,790 "
"Los Angeles, CA EMA","Los Angeles, CA",Los Angeles County,"$7,881,477 "
"Miami, FL EMA","Miami, FL",Miami-Dade County,"$4,426,793 "
"New Orleans, LA EMA","New Orleans, LA",Orleans Parish,"$2,000,000 "
"New York, NY EMA","New York, NY",Bronx County; Kings County; New York County; Queens County,"$16,750,409 "
"Newark, NJ EMA","Newark, NJ",Essex County,"$2,555,761 "
"Orlando, FL EMA","Orlando, FL",Orange County,"$2,555,761 "
"Philadelphia, PA EMA","Philadelphia, PA",Philadelphia County,"$3,156,217 "
"Phoenix, AZ EMA","Phoenix, AZ",Maricopa County,"$2,555,761 "
"San Diego, CA EMA","San Diego, CA",San Diego County,"$2,555,761 "
"San Francisco, CA EMA","San Francisco, CA",San Francisco County,"$2,555,761 "
"San Juan, PR EMA","San Juan, PR",San Juan Municipio,"$2,000,000 "
"Tampa-St. Petersburg, FL EMA","Tampa, FL",Hillsborough County; Pinellas County,"$2,555,761 "
"Washington, DC EMA","Washington, DC","District of Columbia; Montgomery County, MD; Prince George's County, MD","$3,755,939 "
"West Palm Beach, FL EMA","West Palm Beach, FL",Palm Beach County,"$2,000,000 "
"Austin, TX TGA","Austin, TX",Travis County,"$2,000,000 "
"Baton Rouge, LA TGA","Baton Rouge, LA",East Baton Rouge Parish,"$2,000,000 "
"Charlotte-Gastonia, NC/SC TGA","Charlotte, NC","Mecklenburg County, NC","$2,000,000 "
"Cleveland-Lorain-Elyria, OH TGA","Cleveland, OH",Cuyahoga County,"$2,000,000 "
"Columbus, OH TGA","Columbus, OH",Franklin County,"$2,000,000 "
"Ft. Worth, TX TGA","Fort Worth, TX",Tarrant County,"$2,000,000 "
"Indianapolis, IN TGA","Indianapolis, IN",Marion County,"$2,000,000 "
"Jacksonville, FL TGA","Jacksonville, FL",Duval County,"$2,000,000 "
"Jersey City, NJ TGA","Jersey City, NJ",Hudson County,"$2,000,000 "
"Las Vegas, NV TGA","Las Vegas, NV",Clark County,"$2,015,473 "
"Memphis, TN TGA","Memphis, TN",Shelby County,"$2,000,000 "
"Oakland, CA TGA","Oakland, CA",Alameda County,"$2,000,000 "
"Orange County, CA TGA","Santa Ana, CA",Orange County,"$2,000,000 "
"Riverside-San Bernardino, CA TGA","San Bernardino, CA",Riverside County; San Bernardino County,"$2,555,761 "
"Sacramento, CA TGA","Sacramento, CA",Sacramento County,"$2,000,000 "
"San Antonio, TX TGA","San Antonio, TX",Bexar County,"$2,000,000 "
"Seattle, WA TGA","Seattle, WA",King County,"$2,000,000 "
Alabama,Alabama,State,"$2,555,761 "
Arkansas,Arkansas,State,"$2,000,000 "
Kentucky,Kentucky,State,"$2,000,000 "
Mississippi,Mississippi,State,"$2,195,932 "
Missouri,Missouri,State,"$2,555,761 "
Ohio,Ohio,Hamilton County,"$2,000,000 "
Oklahoma,Oklahoma,State,"$2,000,000 "
South Carolina,South Carolina,State,"$2,810,331 "
