Recipient Name,City,State,FY 2023 Part C EIS Award
Alaska Native Tribal Health Consortium,Anchorage,AK,"$435,437 "
Anchorage Neighborhood Health Center,Anchorage,AK,"$319,913 "
"AIDS Action Coalition of Huntsville, Inc.",Huntsville,AL,"$625,956 "
"Health Services Center, Inc.",Anniston,AL,"$713,411 "
Mobile County Board of Health,Mobile,AL,"$460,476 "
Mobile County Health Department,Mobile,AL,"$751,304 "
University of Alabama At Birmingham,Birmingham,AL,"$159,550 "
West Alabama AIDS Outreach Inc,Tuscaloosa,AL,"$178,429 "
"Whatley Health Services, Inc",Tuscaloosa,AL,"$388,043 "
ARCARE,Augusta,AR,"$392,793 "
ARCARE,Augusta,AR,"$348,325 "
"East Arkansas Family Health Center, Inc.",West Memphis,AR,"$272,798 "
Jefferson Comprehensive Care System,Pine Bluff,AR,"$100,000 "
"Arizona Board of Regents, The University of Arizona",Tucson,AZ,"$275,248 "
El Rio Santa Cruz Neighborhood Health Center,Tucson,AZ,"$913,916 "
Maricopa County Special Health Care District D.B.A. Valleywise Health,Phoenix,AZ,"$751,766 "
AIDS Healthcare Foundation,Los Angeles,CA,"$337,211 "
AIDS Healthcare Foundation,Los Angeles,CA,"$350,000 "
AIDS Healthcare Foundation,Los Angeles,CA,"$350,000 "
AIDS Healthcare Foundation,Los Angeles,CA,"$350,000 "
Alta Med Health Services Corporation,Commerce,CA,"$852,385 "
Ampla Health,Yuba City,CA,"$408,933 "
Bartz-Altadonna Community Health Center,Lancaster,CA,"$252,136 "
Cares Community Health,Sacramento,CA,"$540,896 "
Centro De Salud De La Comunidad San Ysidro,San Ysidro,CA,"$642,004 "
Charles R Drew University of Medicine And Science,Los Angeles,CA,"$346,542 "
City & County of San Francisco,San Francisco,CA,"$293,137 "
Clinica Sierra Vista,Bakersfield,CA,"$322,147 "
Community Medical Center,Stockton,CA,"$350,490 "
Contra Costa County Health Services Dept,Martinez,CA,"$251,474 "
County of Monterey,Salinas,CA,"$338,144 "
County of Orange,Santa Ana,CA,"$689,024 "
County of Ventura,Oxnard,CA,"$243,588 "
Desert AIDS Project,Palm Springs,CA,"$313,731 "
Dignity Health Dba Saint Mary Medical Center,Long Beach,CA,"$822,885 "
El Proyecto Del Barrio,Arleta,CA,"$198,511 "
"Family Health Centers of San Diego, Inc.",San Diego,CA,"$672,579 "
Fresno Community Hospital And Medical Center Dba University Medical Center,Fresno,CA,"$606,415 "
"Jwch Institute, Inc.",Los Angeles,CA,"$296,870 "
Los Angeles Lgbt Center,Los Angeles,CA,"$738,484 "
"Mendocino Community Health Clinic, Inc.",Ukiah,CA,"$400,907 "
Northeast Valley Health Corporation,Van Nuys,CA,"$450,822 "
Open Door Community Health Centers,Arcata,CA,"$341,838 "
Plumas County Public Health Agency,Quincy,CA,"$242,236 "
Regents of University of California,La Jolla,CA,"$773,246 "
San Bernardino County Public Health Dept,San Bernardino,CA,"$388,443 "
San Francisco Community Clinic Consort,San Francisco,CA,"$705,908 "
Santa Barbara County Health Department,Santa Barbara,CA,"$326,193 "
Santa Clara County Dept. of Public Health,San Jose,CA,"$681,769 "
Santa Cruz County,Santa Cruz,CA,"$409,150 "
Santa Rosa Community Health Centers,Santa Rosa,CA,"$426,135 "
Shasta Community Health Center,Redding,CA,"$254,593 "
Solano County Health & Social Services Dept.,Fairfield,CA,"$322,329 "
"T.H.E. Clinic, Inc.",Los Angeles,CA,"$271,537 "
"Tarzana Treatment Centers, Inc.",Tarzana,CA,"$306,750 "
Tri-City Health Center,Fremont,CA,"$890,521 "
"University of Southern California, School of Medicine",Los Angeles,CA,"$345,859 "
Venice Family Clinic,Venice,CA,"$302,322 "
Watts Healthcare Corporation,Los Angeles,CA,"$255,214 "
"West County Health Centers, Inc.",Guerneville,CA,"$331,865 "
Boulder Community Hospital,Boulder,CO,"$387,599 "
Denver Health And Hospital Authority,Denver,CO,"$723,507 "
"Pueblo Community Health Center, Inc.",Pueblo,CO,"$280,851 "
St. Mary's Hospital And Medical Center,Grand Jct,CO,"$343,181 "
"Apex Community Care, Inc.",Danbury,CT,"$213,682 "
"Apex Community Care, Inc.",Danbury,CT,"$350,000 "
"Community Health Center, Inc.",Middletown,CT,"$358,293 "
"Community Health Services, Inc",Hartford,CT,"$327,544 "
Cornell Scott-Hill Health Corporation,New Haven,CT,"$523,502 "
"Fair Haven Community Health Clinic, Inc.",New Haven,CT,"$284,442 "
"Generations Family Health Center, Inc.",Willimantic,CT,"$259,558 "
"Optimus Health Care, Inc.",Bridgeport,CT,"$464,227 "
Southwest Community Health Center,Bridgeport,CT,"$437,443 "
"Staywell Health Care, Inc.",Waterbury,CT,"$381,197 "
Family And Medical Counseling Service,Washington,DC,"$566,738 "
Howard University Hospital Comprehensive Clinic,Washington,DC,"$341,610 "
"Unity Health Care, Inc.",Washington,DC,"$585,972 "
Whitman-Walker Clinic,Washington,DC,"$604,559 "
"Christiana Care Health Services, Inc.",Wilmington,DE,"$892,694 "
"Borinquen Health Care Center, Inc.",Miami,FL,"$699,183 "
"Can Community Health, Inc.",Sarasota,FL,"$349,831 "
Charlotte And Desoto County Health Department,Arcadia,FL,"$271,313 "
Collier Health Services,Immokalee,FL,"$422,896 "
Duval County Health Department,Jacksonville,FL,"$350,240 "
"Empower U, Incorporated",Miami,FL,"$613,327 "
Florida Department of Health In Polk County,Bartow,FL,"$625,733 "
Hendry County Health Department,Labelle,FL,"$301,809 "
"Mcr Health, Inc.",Palmetto,FL,"$500,113 "
Miami Beach Community Health Center,Miami Beach,FL,"$601,580 "
Monroe County Health Department,Key West,FL,"$476,420 "
Neighborhood Medical Center Inc.,Tallahassee,FL,"$492,721 "
North Broward Hospital District,Ft. Lauderdale,FL,"$840,675 "
