Recipient Name,City,State,FY 2023 Total Award
Health Services Center Inc.,Anniston,AL,"$651,375 "
University of Alabama at Birmingham,Birmingham,AL,"$893,974 "
University of South Alabama,Mobile,AL,"$377,778 "
ARCARE,Augusta,AR,"$467,473 "
"Jefferson Comprehensive Care System, Inc.",Pine Bluff,AR,"$457,494 "
Maricopa County Special Health Care District D.B.A Valleywise Health,Phoenix,AZ,"$680,985 "
Alta Med Health Services Corporation,Commerce,CA,"$256,862 "
Cares Community Health,Sacramento,CA,"$442,265 "
Children's Hospital & Research Center,Oakland,CA,"$901,170 "
Clinica Sierra Vista,Bakersfield,CA,"$172,386 "
Fresno Community Hospital & Medical Center,Fresno,CA,"$429,636 "
Santa Rosa Community Health Centers,Santa Rosa,CA,"$248,828 "
"The Regents of The Univ. of Calif., U.C. San Diego",La Jolla,CA,"$1,214,612 "
The Regents of The University of California,San Francisco,CA,"$643,114 "
"University of California, Los Angeles",Los Angeles,CA,"$724,335 "
University of Southern California,Los Angeles,CA,"$734,825 "
Regents of The University of Colorado,Aurora,CO,"$878,135 "
"Community Health Center Assoc. of Connecticut, Inc.",Cheshire,CT,"$860,744 "
"Connecticut Childrens Specialty Group, Inc.",Hartford,CT,"$348,304 "
"Christiana Care Health Services, Inc.",Wilmington,DE,"$508,779 "
Bond Community Health Center Inc.,Tallahassee,FL,"$630,329 "
"Children's Diagnostic & Treatment Center, Inc.",Fort Lauderdale,FL,"$1,814,131 "
Florida Department of Health,Orlando,FL,"$827,940 "
University of Florida,Gainesville,FL,"$735,271 "
University of Miami,Miami,FL,"$1,749,338 "
University of South Florida,Tampa,FL,"$1,425,399 "
Chatham County Board of Health,Savannah,GA,"$555,002 "
Georgia Dept of Public Health,Waycross,GA,"$587,311 "
Grady Memorial Hospital Corporation D/B/A Grady Health System,Atlanta,GA,"$820,600 "
Access Community Health Network,Chicago,IL,"$417,987 "
"Hektoen Institute For Medical Research, The",Chicago,IL,"$1,334,937 "
Howard Brown Health Center,Chicago,IL,"$536,289 "
Near North Health Service Corporation,Chicago,IL,"$201,652 "
University of Illinois,Chicago,IL,"$358,053 "
University of Kansas School of Medicine-Wichita Medical Practice Association,Wichita,KS,"$473,618 "
"Matthew 25 AIDS Services, Inc.",Henderson,KY,"$356,516 "
University of Kentucky Research Foundation,Lexington,KY,"$477,806 "
