Percentage of People in Each Income-to-Poverty Ratio by State and Puerto Rico: 2023,,,,,,,,,,,,,,
,Less than 0.5,Margin of error (+/-) ,0.5 to 0.99,Margin of error (+/-) ,1.00 to 1.24,Margin of error (+/-) ,1.25 to 1.49,Margin of error (+/-) ,1.5 to 1.99,Margin of error (+/-) ,2.00 to 3.99,Margin of error (+/-) ,4.00 and over,Margin of error (+/-) 
United States  ,6.1,0.1,6.4,0.1,3.6,Z,3.9,Z,8.3,0.1,29.9,0.1,41.9,0.1
Alabama ,7.3,0.4,8.3,0.4,4.6,0.3,4.4,0.3,9.7,0.4,32.2,0.6,33.6,0.6
Alaska ,5,0.6,5.4,0.7,3.3,0.7,3.8,0.7,7.5,0.9,27.6,1.3,47.4,1.5
Arizona ,6.4,0.3,6.1,0.3,3.7,0.3,4,0.3,8.5,0.4,31.4,0.7,39.8,0.6
Arkansas ,7.4,0.5,8.2,0.5,5.2,0.4,5.2,0.4,10.8,0.5,33,0.8,30.1,0.8
California  ,5.9,0.1,6.1,0.2,3.5,0.1,3.8,0.1,8,0.1,27.5,0.3,45.2,0.3
Colorado ,4.8,0.3,4.5,0.3,2.5,0.2,3.1,0.2,6.5,0.4,27.9,0.6,50.7,0.6
Connecticut ,5.3,0.4,4.9,0.4,2.8,0.3,3.2,0.3,6.5,0.4,24.6,0.8,52.6,0.7
Delaware  ,4.9,0.6,5.7,0.8,2.2,0.4,3.5,0.6,7.9,1,30.4,1.6,45.5,1.5
District of Columbia  ,8.2,1.1,5.9,1.2,2.1,0.7,2.4,0.7,3.3,0.9,17.6,1.7,60.6,2.3
Florida ,5.9,0.2,6.4,0.2,3.7,0.1,4.3,0.2,9.2,0.2,32.1,0.4,38.4,0.4
Georgia ,6.7,0.3,6.9,0.3,3.9,0.2,4.2,0.2,8.7,0.3,30.5,0.5,39.1,0.4
Hawaii ,5.1,0.5,5.1,0.5,2.9,0.4,2.9,0.4,6.5,0.7,29.8,1.1,47.8,1.2
Idaho ,4.4,0.4,5.7,0.6,3.5,0.4,4.6,0.4,10.6,0.7,34.7,1.1,36.6,0.9
Illinois  ,6,0.2,5.7,0.2,3,0.2,3.4,0.2,7.8,0.3,29.5,0.5,44.7,0.5
Indiana  ,6.1,0.3,6.3,0.3,3.7,0.2,4.2,0.2,9.8,0.4,33.5,0.6,36.5,0.5
Iowa ,4.8,0.3,6.5,0.4,3.3,0.3,3.7,0.3,8.8,0.4,33.7,0.7,39.1,0.7
Kansas ,5.3,0.4,5.9,0.4,3.6,0.4,4.3,0.3,8.9,0.4,33.9,0.8,38.1,0.8
Kentucky  ,8,0.3,8.4,0.4,4.7,0.3,4.7,0.3,9.8,0.5,31.8,0.7,32.6,0.6
Louisiana  ,8.9,0.5,10,0.5,4.6,0.4,4.7,0.3,9.9,0.5,30.3,0.8,31.7,0.6
Maine ,4.8,0.5,5.5,0.4,3.5,0.5,3.9,0.5,8.6,0.6,32.4,1,41.2,1.1
Maryland,5.4,0.3,4.1,0.2,2.5,0.2,3.1,0.2,6,0.3,25.5,0.6,53.3,0.6
Massachusetts  ,5.1,0.3,5.4,0.3,2.6,0.2,2.9,0.2,5.5,0.2,23.2,0.5,55.4,0.6
Michigan ,6.5,0.2,7,0.3,3.4,0.2,4,0.2,8.4,0.3,31.9,0.4,38.7,0.4
Minnesota ,4.3,0.2,5,0.3,2.9,0.3,3.1,0.2,6.8,0.3,29.8,0.4,48.2,0.4
Mississippi ,8.1,0.5,9.9,0.6,5.8,0.4,5.4,0.5,10.7,0.6,32,1,28.1,0.9
Missouri ,5.4,0.2,6.5,0.3,4,0.2,4.3,0.3,9.1,0.3,33.3,0.5,37.4,0.5
Montana ,5.6,0.5,6.1,0.6,3.7,0.4,4.2,0.5,8.6,0.6,34,1.1,37.9,1.1
Nebraska  ,4.8,0.4,5.7,0.5,3.3,0.4,3.9,0.4,8.8,0.6,33.7,0.9,39.9,0.8
Nevada ,6.2,0.4,5.7,0.5,4,0.4,4.3,0.4,9.4,0.6,32.5,1,37.9,0.8
