Percentage of People in Each Income-to-Poverty Ratio by the 25 Most Populous Metropolitan Areas: 2023,,,,,,,,,,,,,,
,Less than 0.5,Margin of error (+/-) ,0.5 to 0.99,Margin of error (+/-) ,1.00 to 1.24,Margin of error (+/-) ,1.25 to 1.49,Margin of error (+/-) ,1.5 to 1.99,Margin of error (+/-) ,2.00 to 3.99,Margin of error (+/-) ,4.00 and over,Margin of error (+/-) 
"Atlanta-Sandy Springs-Roswell, GA  ",5.5,0.3,5.6,0.3,3.3,0.3,3.8,0.3,7.7,0.4,28.9,0.7,45.2,0.6
"Austin-Round Rock-San Marcos, TX  ",5.6,0.4,4.2,0.3,2.5,0.4,2.7,0.3,6.2,0.6,26.1,1,52.7,0.9
"Baltimore-Columbia-Towson, MD ",4.5,0.3,4.5,0.3,2.4,0.2,2.7,0.3,5.1,0.3,21,0.6,59.9,0.8
"Boston-Cambridge-Newton, MA-NH  ",5.4,0.5,5.3,0.5,3.3,0.4,3.1,0.4,8.1,0.7,30.6,1,44.2,1
"Charlotte-Concord-Gastonia, NC-SC ",5.7,0.3,5.3,0.3,2.8,0.2,3.2,0.2,7.2,0.3,28.2,0.5,47.6,0.5
"Chicago-Naperville-Elgin, IL-IN",4.9,0.3,5.4,0.3,3.5,0.3,3.8,0.3,7.8,0.4,30.7,0.6,43.9,0.6
"Dallas-Fort Worth-Arlington, TX  ",4.4,0.4,4.2,0.4,1.9,0.3,2.6,0.3,5.2,0.5,26,0.8,55.6,0.9
"Denver-Aurora-Centennial, CO ",6.4,0.3,7.2,0.4,3.3,0.3,3.7,0.3,7.7,0.4,29.4,0.9,42.3,0.7
"Detroit-Warren-Dearborn, MI  ",6.5,0.3,7.4,0.4,3.8,0.2,4.1,0.3,9.1,0.4,29.3,0.6,39.8,0.5
"Houston-Pasadena-The Woodlands, TX ",5.9,0.2,6.7,0.2,3.8,0.2,4,0.2,8.1,0.2,28.2,0.4,43.4,0.5
"Los Angeles-Long Beach-Anaheim, CA ",5.9,0.3,6.9,0.4,3.7,0.3,4.6,0.4,9.2,0.5,30.9,0.7,38.8,0.6
"Miami-Fort Lauderdale-West Palm Beach, FL  ",3.9,0.3,4.1,0.3,2.5,0.3,2.6,0.2,5.8,0.4,27.1,0.6,53.9,0.6
"Minneapolis-St. Paul-Bloomington, MN-WI ",6.2,0.2,6.6,0.2,3.3,0.2,3.4,0.2,6.7,0.2,23.3,0.4,50.5,0.3
"New York-Newark-Jersey City, NY-NJ ",5.4,0.5,5.9,0.6,3.8,0.5,4.3,0.5,10,0.8,32.5,1.3,38.2,1
"Orlando-Kissimmee-Sanford, FL  ",5.5,0.3,6,0.4,3.3,0.3,3,0.3,6.6,0.4,26.2,0.6,49.3,0.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",5.9,0.4,5.1,0.3,3.4,0.3,3.5,0.4,8,0.5,30.9,0.9,43.3,0.8
"Phoenix-Mesa-Chandler, AZ  ",4.8,0.3,4.4,0.4,2.8,0.4,3.2,0.4,6.9,0.6,27.5,0.9,50.4,1
"Riverside-San Bernardino-Ontario, CA ",5.6,0.4,6.5,0.4,3.6,0.3,4.3,0.4,9.8,0.5,33.6,0.7,36.5,0.6
"St. Louis, MO-IL  ",4.8,0.4,5.6,0.5,3,0.4,3,0.4,6.7,0.5,30.6,0.9,46.3,0.9
"San Antonio-New Braunfels, TX ",6.1,0.6,7.5,0.6,4.3,0.6,4.6,0.6,9.3,0.7,31.7,1.2,36.4,1
"San Diego-Chula Vista-Carlsbad, CA  ",4.9,0.3,5.2,0.4,2.8,0.3,3.4,0.4,7.1,0.5,25.2,0.8,51.5,0.9
"San Francisco-Oakland-Fremont, CA ",5,0.3,4.2,0.3,2.4,0.3,2.7,0.3,5.1,0.3,20.1,0.7,60.5,0.8
"Seattle-Tacoma-Bellevue, WA ",4.8,0.3,4.2,0.4,1.9,0.2,2.4,0.3,5.4,0.4,23.4,0.7,57.9,0.9
"Tampa-St. Petersburg-Clearwater, FL ",6.1,0.4,5.9,0.4,3.6,0.4,4.1,0.4,8.6,0.6,31.6,0.8,40.1,0.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",4.3,0.3,3.6,0.3,2,0.2,2.7,0.2,5,0.3,21.1,0.5,61.3,0.7
,,,,,,,,,,,,,,
1 Poverty status is determined for individuals in housing units and noninstitutional group quarters. The poverty universe excludes children under the age of 15 who,,,,,,,,,,,,,,
"are not related to the householder, people living in institutional group quarters (e.g., nursing homes or correctional facilities), and people living in college dormitories",,,,,,,,,,,,,,
or military barracks. People and families are classified as being in poverty if their income is less than their poverty threshold. If their income is less than one-half of their,,,,,,,,,,,,,,
"poverty threshold, they are below .50 of poverty; less than the threshold itself, they are in poverty (below 100 percent of poverty); less than 1.25 times the threshold,",,,,,,,,,,,,,,
"below 125 percent of poverty, and so on.",,,,,,,,,,,,,,
2 Data are based on a sample and are subject to sampling variability. A margin of error is a measure of an estimate’s variability. The larger the margin of error in,,,,,,,,,,,,,,
"relation to the size of the estimate, the less reliable the estimate. This number, when added to or subtracted from the estimate, forms the 90 percent confidence interval.",,,,,,,,,,,,,,
"Note: For information on confidentiality protection, sampling error, nonsampling error, and definitions, refer to <www.census.gov/programs-surveys/acs/technical-",,,,,,,,,,,,,,
documentation/code-lists.html>.,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2023 American Community Survey 1-year estimates (DMS number P-7533841 and DRB approval number CBDRB-FY25-0256).",,,,,,,,,,,,,,
