Percentage of People in Each Income-to-Poverty Ratio by State and Puerto Rico: 2024,,,,,,,,,,,,,,
,Less than 0.5,Margin of error (+/-) ,0.5 to 0.99,Margin of error (+/-) ,1.00 to 1.24,Margin of error (+/-) ,1.25 to 1.49,Margin of error (+/-) ,1.5 to 1.99,Margin of error (+/-) ,2.00 to 3.99,Margin of error (+/-) ,4.00 and over,Margin of error (+/-) 
United States  ,6,Z,*6.1,0.1,3.5,Z,*3.7,Z,*8.0,0.1,*29.5,0.1,^43.1,0.1
Alabama ,7.4,0.4,7.8,0.4,4.2,0.3,4.2,0.3,9.3,0.4,*31.3,0.6,^35.7,0.5
Alaska ,5.6,0.7,4.6,0.7,3,0.5,3.4,0.7,*5.9,0.7,^30.9,1.4,46.6,1.4
Arizona ,6.1,0.3,*5.6,0.3,3.5,0.3,3.8,0.3,*7.8,0.4,31.9,0.6,^41.3,0.5
Arkansas ,7.4,0.4,8.1,0.5,5.1,0.5,5.1,0.3,10.3,0.5,32.5,0.8,^31.5,0.7
California  ,5.9,0.1,5.9,0.1,3.4,0.1,3.7,0.1,7.8,0.2,*26.7,0.2,^46.5,0.2
Colorado ,^5.3,0.3,4.3,0.3,2.6,0.2,2.9,0.2,*5.9,0.4,27.5,0.7,51.6,0.7
Connecticut ,5.2,0.4,5,0.4,*2.3,0.3,2.8,0.3,6.2,0.5,24.7,0.7,^53.8,0.9
Delaware  ,5.3,0.9,*4.3,0.7,^2.9,0.6,2.9,0.7,7.2,0.8,31.6,1.8,45.6,1.8
District of Columbia  ,^10.3,1.3,7,1.4,1.9,0.7,2.8,0.9,4.5,0.9,15.7,1.7,*57.8,1.6
Florida ,5.9,0.2,6.1,0.2,3.5,0.1,*3.9,0.2,*8.8,0.2,31.7,0.3,^39.9,0.3
Georgia ,*6.2,0.2,*6.3,0.2,*3.6,0.2,*3.8,0.2,8.7,0.3,30.7,0.5,^40.6,0.5
Hawaii ,^6.1,0.5,*3.9,0.4,2.5,0.4,2.8,0.5,7.3,0.8,28.2,1.3,49.2,1.4
Idaho ,4.6,0.4,5.9,0.5,3.3,0.3,*3.9,0.4,*9.2,0.6,34.9,0.8,^38.2,1
Illinois  ,5.9,0.2,5.7,0.2,^3.3,0.2,3.2,0.2,*7.2,0.2,*28.7,0.5,^46.0,0.4
Indiana  ,5.9,0.3,6.3,0.3,3.5,0.2,*3.9,0.2,*9.1,0.4,^34.4,0.6,36.9,0.6
Iowa ,^5.5,0.4,*5.8,0.4,3.5,0.3,3.7,0.3,8.3,0.4,*32.7,0.6,^40.5,0.6
Kansas ,5.1,0.3,5.8,0.4,3.6,0.4,3.9,0.3,8.3,0.5,*32.3,0.8,^41.0,0.8
Kentucky  ,7.6,0.4,8,0.4,4.6,0.3,*4.3,0.3,9.9,0.4,32.4,0.7,33.3,0.6
Louisiana  ,9,0.5,9.7,0.5,4.9,0.4,*4.2,0.3,*9.0,0.4,29.7,0.8,^33.6,0.7
Maine ,5,0.5,5.6,0.4,3.2,0.3,*3.0,0.4,7.8,0.6,31.7,1.1,^43.8,1.1
Maryland,*4.8,0.3,4.2,0.3,2.2,0.2,3.1,0.3,6.3,0.4,*24.7,0.5,^54.7,0.6
Massachusetts  ,5,0.2,*4.7,0.2,2.6,0.2,*2.4,0.2,5.6,0.3,23.4,0.5,^56.4,0.6
Michigan ,6.5,0.2,6.9,0.2,3.6,0.2,3.8,0.2,8.4,0.3,31.2,0.5,^39.5,0.4
Minnesota ,4.6,0.3,4.7,0.3,3,0.3,3,0.2,6.7,0.4,29.2,0.5,48.9,0.5
Mississippi ,8.5,0.5,9.3,0.6,*4.9,0.4,5.7,0.4,10.4,0.6,30.7,0.9,^30.4,0.8
Missouri ,^5.9,0.3,6.4,0.3,*3.7,0.2,4,0.3,*8.5,0.3,33.2,0.5,^38.4,0.6
Montana ,*4.7,0.5,5.5,0.4,3.4,0.5,4.1,0.5,8.8,0.8,34.1,1.5,39.4,1.3
Nebraska  ,5.4,0.4,5.5,0.4,3.5,0.3,3.5,0.4,8.4,0.5,33.7,1,40,0.9
Nevada ,5.8,0.4,5.8,0.6,3.6,0.4,4.2,0.5,9.2,0.6,32.2,1.1,^39.3,0.9
New Hampshire  ,3.9,0.4,3.3,0.4,1.8,0.3,2.3,0.4,5.5,0.5,27.2,1.1,^56.0,1.3
New Jersey  ,4.7,0.2,*4.5,0.2,2.7,0.2,2.8,0.2,6.1,0.3,24.6,0.5,54.6,0.5
New Mexico ,8.2,0.7,8.3,0.7,4.6,0.4,4.8,0.5,*9.2,0.7,30.4,0.9,^34.6,1.1
New York  ,7.1,0.2,*6.9,0.2,3.7,0.1,3.6,0.2,*7.0,0.2,25.8,0.3,45.9,0.3
North Carolina  ,6.3,0.2,6.3,0.2,3.9,0.2,4,0.2,8.9,0.3,*30.8,0.5,^39.9,0.5
North Dakota ,^5.7,0.7,5.4,0.6,2.9,0.5,2.9,0.6,7.3,0.7,31.6,1.3,44.1,1.5
Ohio ,6.4,0.2,*6.3,0.2,3.6,0.2,*3.8,0.2,8.4,0.3,31.7,0.4,^39.8,0.5
Oklahoma ,7.2,0.3,*7.8,0.3,4.4,0.3,5.1,0.3,10.1,0.4,32.8,0.6,^32.7,0.6
Oregon ,5.9,0.3,5.9,0.3,3.2,0.3,3.8,0.3,7.4,0.4,28.8,0.7,^45.0,0.8
