Percentage of People in Each Income-to-Poverty Ratio by the 25 Most Populous Metropolitan Areas: 2024,,,,,,,,,,,,,,
,Less than 0.5,Margin of error (+/-) ,0.5 to 0.99,Margin of error (+/-) ,1.00 to 1.24,Margin of error (+/-) ,1.25 to 1.49,Margin of error (+/-) ,1.5 to 1.99,Margin of error (+/-) ,2.00 to 3.99,Margin of error (+/-) ,4.00 and over,Margin of error (+/-) 
"Atlanta-Sandy Springs-Roswell, GA  ",5.1,0.3,*4.9,0.3,2.9,0.2,*3.2,0.2,7.6,0.4,29.1,0.7,^47.1,0.6
"Austin-Round Rock-San Marcos, TX  ",5.2,0.5,3.9,0.5,2.4,0.4,3.1,0.5,6.6,0.7,24.9,1.1,^53.7,1
"Baltimore-Columbia-Towson, MD ",*4.8,0.5,4.4,0.4,2.3,0.3,2.8,0.4,6.7,0.7,*24.7,0.9,54.3,1
"Boston-Cambridge-Newton, MA-NH  ",4.7,0.3,4.1,0.3,2.2,0.2,*2.2,0.2,4.9,0.3,21.5,0.6,60.4,0.7
"Charlotte-Concord-Gastonia, NC-SC ",5.4,0.5,4.9,0.4,3.4,0.4,3.4,0.4,8.2,0.6,29.4,1,45.3,0.9
"Chicago-Naperville-Elgin, IL-IN",5.6,0.2,5.5,0.3,3,0.2,3,0.2,6.9,0.3,27.5,0.6,^48.5,0.5
"Dallas-Fort Worth-Arlington, TX  ",4.7,0.3,5.1,0.3,3.5,0.3,3.7,0.3,8,0.4,*29.1,0.7,^45.9,0.6
"Denver-Aurora-Centennial, CO ",4.7,0.4,3.8,0.4,2,0.3,2.5,0.4,5,0.4,25.2,1,56.8,1
"Detroit-Warren-Dearborn, MI  ",^6.9,0.3,7.2,0.4,3.3,0.3,3.6,0.3,7.8,0.5,28.5,0.7,42.6,0.6
"Houston-Pasadena-The Woodlands, TX ",6.9,0.4,7.4,0.4,^4.2,0.3,4.3,0.3,8.6,0.5,*27.9,0.6,40.6,0.6
"Los Angeles-Long Beach-Anaheim, CA ",6.1,0.2,*6.3,0.2,3.6,0.2,3.8,0.2,8.2,0.3,*27.3,0.4,^44.7,0.5
"Miami-Fort Lauderdale-West Palm Beach, FL  ",5.9,0.3,6.8,0.3,3.7,0.3,*3.9,0.3,8.9,0.4,31.1,0.7,39.6,0.7
"Minneapolis-St. Paul-Bloomington, MN-WI ",4.3,0.3,4,0.4,2.8,0.4,2.8,0.3,5.7,0.4,26.8,0.6,53.6,0.7
"New York-Newark-Jersey City, NY-NJ ",6.3,0.2,*6.2,0.2,3.3,0.1,3.3,0.2,6.5,0.2,23.6,0.4,50.7,0.4
"Orlando-Kissimmee-Sanford, FL  ",5.8,0.5,5.7,0.7,*3.0,0.4,4.3,0.7,9.8,0.8,32.7,1.1,38.9,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",5.4,0.3,*5.5,0.4,3.1,0.3,3,0.2,6.6,0.4,25.8,0.6,^50.7,0.6
"Phoenix-Mesa-Chandler, AZ  ",5.6,0.3,4.6,0.4,*2.7,0.3,3.6,0.3,*7.2,0.4,31.7,0.7,^44.5,0.7
"Riverside-San Bernardino-Ontario, CA ",5.5,0.4,*5.5,0.4,3.9,0.4,4.6,0.4,9.6,0.5,*32.2,0.9,^38.8,0.9
"St. Louis, MO-IL  ",5,0.4,5.4,0.5,2.8,0.3,3.2,0.4,6.9,0.4,*29.3,0.8,47.5,0.8
"San Antonio-New Braunfels, TX ",6.5,0.5,*6.6,0.6,3.8,0.4,4.3,0.5,9.1,0.8,31.7,1.2,^37.9,1.1
"San Diego-Chula Vista-Carlsbad, CA  ",5.3,0.4,4.7,0.4,3,0.4,*2.9,0.3,*6.3,0.5,26,0.9,51.8,0.9
"San Francisco-Oakland-Fremont, CA ",*4.5,0.2,4.5,0.4,2.3,0.2,2.4,0.2,5.1,0.4,*19.1,0.6,^62.1,0.6
"Seattle-Tacoma-Bellevue, WA ",4.6,0.3,4.2,0.4,2.2,0.2,2.1,0.2,5.1,0.4,23.1,0.7,58.7,0.8
"Tampa-St. Petersburg-Clearwater, FL ",5.7,0.4,*5.3,0.5,3.5,0.4,3.7,0.5,8.1,0.5,30.8,0.9,^42.8,0.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV ",4.4,0.3,3.8,0.3,2,0.2,2.7,0.3,5,0.3,21,0.6,61.1,0.6
,,,,,,,,,,,,,,
* Indicates a significant decrease. Statistically different from 2023 estimate at the 90 percent confidence level.,,,,,,,,,,,,,,
^ Indicates a significant increase. Statistically different from 2023 estimate at the 90 percent confidence level.,,,,,,,,,,,,,,
1 Poverty status is determined for individuals in housing units and noninstitutional group quarters. The poverty universe excludes children under the age of 15 who,,,,,,,,,,,,,,
"are not related to the householder, people living in institutional group quarters (e.g., nursing homes or correctional facilities), and people living in college dormitories",,,,,,,,,,,,,,
or military barracks. People and families are classified as being in poverty if their income is less than their poverty threshold. If their income is less than one-half of their,,,,,,,,,,,,,,
"poverty threshold, they are below .50 of poverty; less than the threshold itself, they are in poverty (below 100 percent of poverty); less than 1.25 times the threshold,",,,,,,,,,,,,,,
"below 125 percent of poverty, and so on.",,,,,,,,,,,,,,
2 Data are based on a sample and are subject to sampling variability. A margin of error is a measure of an estimate’s variability. The larger the margin of error in,,,,,,,,,,,,,,
"relation to the size of the estimate, the less reliable the estimate. This number, when added to or subtracted from the estimate, forms the 90 percent confidence interval.",,,,,,,,,,,,,,
"Note: For information on confidentiality protection, sampling error, nonsampling error, and definitions, refer to <www.census.gov/programs-surveys/acs/technical-",,,,,,,,,,,,,,
documentation/code-lists.html>.,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2024 American Community Survey 1-year estimates (DMS number P-7533841 and DRB approval number CBDRB-FY25-0256).",,,,,,,,,,,,,,
