"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2010"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","16521500","25995300","3563500","46080300","1"
"Alabama","330100","491200","67100","888400"
"Alaska","28500","43900","3400","75800"
"Arizona","415300","612400","69300","1097000"
"Arkansas","199900","290100","42000","531900"
"California","2117800","3237100","408600","5763500"
"Colorado","216400","384400","44500","645300"
"Connecticut","106100","204400","32200","342700"
"Delaware","38500","56600","10200","105300"
"District of Columbia","32000","70100","8400","110500"
"Florida","985700","1741300","318800","3045700"
"Georgia","634400","943500","109900","1687900"
"Hawaii","43100","80300","13200","136700"
"Idaho","79600","140500","15300","235400"
"Illinois","631900","982500","130100","1744500"
"Indiana","363700","545200","56300","965200"
"Iowa","128600","218500","28800","375800"
"Kansas","132200","203000","28200","363300"
"Kentucky","267600","457000","63100","787800"
"Louisiana","315900","437100","61700","814700"
"Maine","52000","103200","21000","176200"
"Maryland","186500","323100","55300","564900"
"Massachusetts","208800","434800","74400","718000"
"Michigan","558200","933200","105200","1596600"
"Minnesota","196000","338700","55800","590500"
"Mississippi","252100","341100","45700","638800"
"Missouri","307600","515700","78900","902300"
"Montana","48000","82100","9400","139500"
"Nebraska","88300","126900","16700","231900"
"Nevada","154100","223500","24600","402200"
"New Hampshire","30100","65100","9900","105100"
"New Jersey","304800","490300","83300","878400"
"New Mexico","159000","219100","32900","411100"
"New York","956400","1599800","273600","2829800"
"North Carolina","575000","915400","118600","1609000"
"North Dakota","22600","46200","10800","79600"
"Ohio","650800","1003200","127400","1781400"
"Oklahoma","242900","332700","45600","621200"
"Oregon","194200","366100","39400","599700"
"Pennsylvania","534100","941200","147300","1622700"
"Rhode Island","48600","87400","11800","147800"
"South Carolina","287000","463600","62500","813200"
"South Dakota","40200","64500","12700","117500"
"Tennessee","397400","611500","81700","1090600"
"Texas","1814700","2292700","268500","4375900"
"Utah","148600","202000","13600","364300"
"Vermont","21300","44500","5800","71500"
"Virginia","291600","515900","70400","878000"
"Washington","303500","531600","56900","892000"
"West Virginia","105100","195800","30600","331600"
"Wisconsin","254200","411300","57500","723000"
"Wyoming","20400","33800","4600","58800"
"Puerto Rico","526200","912600","214500","1653300"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
