"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2013"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","16756500","27740900","4159200","48656500","1"
"Alabama","317600","499000","74500","891200"
"Alaska","21900","38200","N/A","63800"
"Arizona","443200","674000","85000","1202200"
"Arkansas","202500","303200","46300","552000"
"California","2200000","3576200","492800","6269000"
"Colorado","219200","396600","48900","664800"
"Connecticut","118200","210000","37600","365800"
"Delaware","38600","67100","10900","116500"
"District of Columbia","32100","74500","11600","118200"
"Florida","1005700","1848600","381400","3235700"
"Georgia","679500","1023000","125300","1827800"
"Hawaii","40500","89400","14700","144700"
"Idaho","88700","144000","17900","250600"
"Illinois","625400","1053100","146400","1824900"
"Indiana","350500","589200","68500","1008300"
"Iowa","125500","227500","36200","389200"
"Kansas","135700","213900","31100","380800"
"Kentucky","251200","462400","70300","783800"
"Louisiana","315600","494300","74000","883900"
"Maine","46200","104800","21100","172100"
"Maryland","199200","333700","62600","595500"
"Massachusetts","228700","456300","82000","766900"
"Michigan","542600","968100","116200","1626800"
"Minnesota","185500","357300","53400","596200"
"Mississippi","262300","384600","58200","705100"
"Missouri","327300","545600","83000","955800"
"Montana","52400","104000","15200","171700"
"Nebraska","80000","134000","21600","235600"
"Nevada","150400","246700","33700","430800"
"New Hampshire","28400","73200","10600","112300"
"New Jersey","344300","544000","102800","991100"
"New Mexico","174400","263800","36900","475100"
"New York","995900","1760000","330200","3086100"
"North Carolina","594900","984100","137500","1716500"
"North Dakota","19900","53600","9400","82900"
"Ohio","599100","1013100","139000","1751300"
"Oklahoma","233900","341300","48400","623600"
"Oregon","190100","392400","53000","635500"
"Pennsylvania","544700","985600","171900","1702300"
"Rhode Island","45400","84100","12300","141900"
"South Carolina","305700","481600","72300","859700"
"South Dakota","36400","65300","10000","111600"
"Tennessee","407100","647200","91800","1146100"
"Texas","1813300","2391800","312600","4517700"
"Utah","137200","206500","21300","365000"
"Vermont","22700","47200","7500","77400"
"Virginia","299800","553800","81700","935300"
"Washington","302600","571700","74500","948700"
"West Virginia","101100","194900","29400","325500"
"Wisconsin","254000","430800","76400","761300"
"Wyoming","19200","35400","5300","59900"
"Puerto Rico","500600","898400","239700","1638700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
