"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2018"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","18080900","8647800","11060100","1987100","509500","1359000","41644300","1"
"Alabama","356300","342700","69200","5700","3400","20600","797800"
"Alaska","30600","N/A","2400","N/A","23400","6100","76100"
"Arizona","341500","55500","430100","29300","93700","23800","973900"
"Arkansas","289100","133300","57400","9800","N/A","16300","508200"
"California","1275500","406400","2526600","571200","19800","141200","4940800"
"Colorado","282800","37500","176300","17400","7000","20700","541700"
"Connecticut","137600","62000","133400","13800","N/A","11000","358600"
"Delaware","46800","36300","19200","3100","N/A","4800","1.11E+05"
"District of Columbia","15700","81000","9300","N/A","N/A","N/A","111000"
"Florida","1075800","655600","912200","72600","6200","68800","2791200"
"Georgia","533900","624600","215200","44300","3200","46000","1467200"
"Hawaii","26700","N/A","18200","51600","N/A","30200","128200"
"Idaho","145800","N/A","45100","N/A","4200","6100","206600"
"Illinois","633400","401200","324200","81900","N/A","41900","1485400"
"Indiana","530300","155200","100000","28400","2200","34700","850800"
"Iowa","242300","36500","35500","12800","N/A","15100","343200"
"Kansas","197700","41800","74400","7000","2600","20500","344000"
"Kentucky","559500","94100","37300","11200","N/A","19600","723300"
"Louisiana","322100","432200","51500","10400","N/A","23700","845200"
"Maine","129200","4300","3700","N/A","N/A","5600","144900"
"Maryland","173100","219400","80000","26300","N/A","17600","518300"
"Massachusetts","319900","79600","192300","50600","N/A","22300","666400"
"Michigan","805000","359500","99800","42000","11800","48600","1366700"
"Minnesota","312700","98400","51800","33000","16300","21900","534000"
"Mississippi","201300","335800","19100","6300","4700","8700","575800"
"Missouri","517300","168100","50300","9200","3500","33100","781500"
"Montana","96200","N/A","N/A","N/A","17200","7000","125200"
"Nebraska","127300","17300","49200","7100","4300","9600","214800"
"Nevada","133700","53400","152700","20300","7600","20300","388100"
"New Hampshire","78900","N/A","6800","3700","N/A","N/A","94900"
"New Jersey","251900","180900","310600","57400","N/A","18700","820300"
"New Mexico","94400","9400","243800","4600","54600","3500","410300"
"New York","960700","530800","801400","239300","10400","72500","2615100"
"North Carolina","614200","446300","244800","40500","21600","46800","1414300"
"North Dakota","50000","N/A","4500","N/A","9300","N/A","74200"
"Ohio","971600","385800","108600","32900","5200","75700","1579700"
"Oklahoma","294100","80300","96500","9100","53600","55300","588900"
"Oregon","330700","13000","102800","19100","8100","27000","500700"
"Pennsylvania","829000","314900","246800","59400","2700","56000","1508700"
"Rhode Island","57600","8600","48700","7200","N/A","5100","127300"
"South Carolina","315000","328100","69900","8800","N/A","18700","744700"
"South Dakota","60400","N/A","8200","N/A","37000","N/A","113100"
"Tennessee","576400","292500","97000","15000","3700","31900","1016600"
"Texas","969000","640200","2322100","146300","7800","65800","4151100"
"Utah","176300","7200","62300","10400","8100","7800","272200"
"Vermont","60800","N/A","2500","N/A","N/A","N/A","66900"
"Virginia","416600","276100","101800","43900","2500","32600","873500"
"Washington","415000","52600","163500","72700","14000","52000","769700"
"West Virginia","275800","16500","3800","N/A","N/A","10800","310600"
"Wisconsin","378100","114200","62800","24000","10700","19900","609800"
"Wyoming","45400","N/A","11400","N/A","2800","N/A","62400"
"Puerto Rico","11000","N/A","1353800","N/A","N/A","N/A","1367800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
