"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2012"
"Location","Male","Female","Total",Footnotes
"United States","11722300","15673300","27395600","1"
"Alabama","2.00E+05","292300","492300"
"Alaska","21300","26600","47900"
"Arizona","283800","364300","648100"
"Arkansas","124800","177100","301900"
"California","1573400","1959800","3533300"
"Colorado","185100","223800","408900"
"Connecticut","90700","124500","215200"
"Delaware","24900","39000","63900"
"District of Columbia","28000","38200","66200"
"Florida","788900","1026500","1815400"
"Georgia","427900","593100","1021000"
"Hawaii","35800","53900","89600"
"Idaho","57800","79200","137000"
"Illinois","446000","602700","1048700"
"Indiana","240800","331200","572000"
"Iowa","95600","126300","221900"
"Kansas","100300","119800","220100"
"Kentucky","201300","267900","469200"
"Louisiana","193600","298100","491700"
"Maine","54100","65700","119800"
"Maryland","133600","198100","331700"
"Massachusetts","185000","268000","453000"
"Michigan","434800","555500","990300"
"Minnesota","163600","188000","351600"
"Mississippi","145600","223400","369000"
"Missouri","229000","320200","549200"
"Montana","39000","51800","90700"
"Nebraska","47900","69300","117200"
"Nevada","110200","135300","245600"
"New Hampshire","31900","39800","71700"
"New Jersey","211800","303300","515100"
"New Mexico","105500","129400","234900"
"New York","729000","984800","1713800"
"North Carolina","404300","566400","970700"
"North Dakota","16900","23700","40600"
"Ohio","4.32E+05","607900","1039900"
"Oklahoma","152800","199900","352700"
"Oregon","185900","216100","402000"
"Pennsylvania","416900","562500","979400"
"Rhode Island","35900","43600","79600"
"South Carolina","186000","276400","462400"
"South Dakota","27700","32700","60500"
"Tennessee","269000","378000","647000"
"Texas","992100","1361900","2353900"
"Utah","85700","106800","192500"
"Vermont","20400","22900","43400"
"Virginia","231000","317100","548100"
"Washington","234800","309100","543900"
"West Virginia","85500","108500","194000"
"Wisconsin","187800","236800","424600"
"Wyoming","16700","25700","42400"
"Puerto Rico","395700","489400","885100"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
