"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2017"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","42386900","55738500","94473800","124423400","317022500","1"
"Alabama","796000","986800","1468500","1490100","4741400"
"Alaska","83200","110800","191500","324600","710100"
"Arizona","1008400","1348900","2128200","2355700","6841300"
"Arkansas","471000","658900","947900","832100","2910000"
"California","5117700","6825600","10797900","15972600","38713900"
"Colorado","563300","828800","1624400","2444600","5461100"
"Connecticut","326000","450100","916700","1785900","3478700"
"Delaware","120300","136300","255700","419400","931700"
"District of Columbia","107900","86500","118300","344900","657600"
"Florida","2878300","4232700","6547800","6873500","20532300"
"Georgia","1534200","1970100","2993600","3623500","10121400"
"Hawaii","143700","159800","416300","636300","1356100"
"Idaho","221400","352900","605600","502200","1682100"
"Illinois","1581700","2042400","3625300","5247200","12496600"
"Indiana","872700","1169400","2158800","2258600","6459400"
"Iowa","309400","525500","1013400","1197300","3045600"
"Kansas","337300","516600","922100","1041500","2817600"
"Kentucky","748100","845200","1386000","1327800","4307100"
"Louisiana","906500","937800","1231100","1466100","4541500"
"Maine","148400","223000","420300","508500","1300200"
"Maryland","555500","746500","1479500","3111400","5892900"
"Massachusetts","689800","804200","1582400","3544200","6620600"
"Michigan","1381900","1702700","3111100","3524700","9720300"
"Minnesota","531400","738800","1634600","2541600","5446600"
"Mississippi","568300","636100","909500","770600","2884500"
"Missouri","787200","1117400","1924700","2092100","5921300"
"Montana","129200","193800","328100","371400","1022600"
"Nebraska","198000","318400","650500","692300","1859200"
"Nevada","386900","564700","998900","996000","2946600"
"New Hampshire","96800","151500","379700","668900","1297000"
"New Jersey","859300","1130800","2145100","4688600","8823900"
"New Mexico","399400","431400","619400","588000","2038200"
"New York","2698400","3107400","4999600","8510300","19315700"
"North Carolina","1478800","1920100","3082400","3467400","9948800"
"North Dakota","71100","103100","243400","308400","726000"
"Ohio","1569400","1958800","3603000","4192300","11323500"
"Oklahoma","584900","842100","1206200","1170600","3803700"
"Oregon","536800","715000","1249700","1561400","4063000"
"Pennsylvania","1552900","1927200","3777500","5131500","12389100"
"Rhode Island","118800","154500","281600","461000","1015900"
"South Carolina","750500","994700","1540500","1578800","4864600"
"South Dakota","102200","143100","288700","303000","837000"
"Tennessee","983900","1287200","2131400","2135600","6538200"
"Texas","4039000","5459100","8304400","9818700","27621300"
"Utah","292100","525000","1123300","1107000","3047400"
"Vermont","66700","106700","189600","237100","600200"
"Virginia","852400","1152200","2283000","3853100","8140700"
"Washington","810800","1041300","2079900","3307800","7239800"
"West Virginia","336500","342700","559500","523500","1762100"
"Wisconsin","615600","918600","1814400","2294300","5643000"
"Wyoming","66500","94900","182700","219300","563300"
"Puerto Rico","1471100","899600","683200","250900","3304800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
