Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts,,,,,,
Timeframe: 2024,,,,,,
Location,Under 100%,100-199%,200-399%,400%+,Total,Footnotes
United States,40183500,50241000,97604300,143131400,331160300,1
Alabama,765300,874800,1570800,1785200,4996100,
Alaska,75000,81600,218400,326800,701800,
Arizona,865600,1114400,2376600,3045300,7402000,
Arkansas,471400,612600,971400,940600,2996000,
California,4562400,5749100,10282300,18008500,38602300,
Colorado,552400,657500,1598500,2995400,5803800,
Connecticut,359100,415400,871700,1918400,3564600,
Delaware,99200,129300,313100,481400,1022900,
District of Columbia,118400,61300,105300,384200,669200,
Florida,2736600,3724600,7256800,9119500,22837500,
Georgia,1361400,1757000,3338000,4412800,10869200,
Hawaii,136800,169700,386700,681200,1374400,
Idaho,203900,319600,667100,758400,1948900,
Illinois,1413200,1700900,3593000,5699200,12406300,
Indiana,801200,1107700,2327400,2493300,6729700,
Iowa,354300,493200,1018700,1274600,3140900,
Kansas,303900,467700,935500,1161800,2868800,
Kentucky,677200,839700,1449200,1484500,4450700,
Louisiana,834300,807600,1338000,1476900,4456900,
Maine,147700,198900,432900,582400,1361900,
Maryland,545400,698500,1500900,3358900,6103600,
Massachusetts,668400,718900,1629000,3882400,6898700,
Michigan,1343100,1539100,3102500,3935100,9919800,
Minnesota,523800,695200,1650300,2799100,5668400,
Mississippi,505500,598300,861900,877000,2842700,
Missouri,739600,976700,2024800,2325700,6066700,
Montana,110900,178100,385300,434000,1108300,
Nebraska,227800,303200,651800,766400,1949200,
Nevada,380300,548900,1028600,1258700,3216600,
New Hampshire,97500,117200,375800,775400,1365900,
New Jersey,865700,1086500,2285800,5091900,9329900,
New Mexico,348600,389600,630200,709700,2078200,
New York,2711800,2759500,4955000,8911900,19338200,
North Carolina,1350700,1789700,3272900,4272600,10685800,
North Dakota,88800,93800,235800,342200,760600,
Ohio,1448100,1823400,3664800,4634600,11570900,
Oklahoma,585200,764400,1310100,1299700,3959400,
Oregon,484200,602200,1223900,1876600,4186900,
Pennsylvania,1468600,1850700,3706300,5610900,12636500,
Rhode Island,129600,140700,299100,500000,1069300,
South Carolina,705300,885800,1692500,2029600,5313200,
South Dakota,94800,142400,298600,355900,891800,
Tennessee,947100,1193000,2260800,2649600,7050500,
Texas,4109200,5280200,9101600,12065800,30556800,
Utah,274200,450300,1170600,1539900,3435000,
Vermont,46800,82500,199000,295900,624300,
Virginia,841700,1120900,2307400,4194000,8464000,
Washington,772700,908900,2060700,4031500,7773900,
West Virginia,276300,325400,565800,542400,1709900,
Wisconsin,596500,798700,1907600,2507700,5810500,
Wyoming,55900,95700,193200,226200,571000,
Puerto Rico,1196200,930900,735100,311200,3173400,
,,,,,,
Notes,,,,,,
The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. ,,,,,,
 ,,,,,,
,,,,,,
Data may not sum to totals due to rounding.,,,,,,
,,,,,,
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html).",,,,,,
,,,,,,
Data include the civilian noninstitutionalized population in the United States.,,,,,,
,,,,,,
Sources,,,,,,
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates.",,,,,,
,,,,,,
,,,,,,
Footnotes,,,,,,
1. US total excludes Puerto Rico.,,,,,,
