,american_indian_alaska_native,suppressed,pct,asian,suppressed,pct,black,suppressed,pct,hispanic,suppressed,pct,native_hawaiian_pacific_islander,suppressed,pct,white,suppressed,pct,multiple_races,suppressed,pct,total,suppressed,pct
Gender,,,,,,,,,,,,,,,,,,,,,,,,
Male,65,62,95.4,120,111,92.5,"4,527","4,030",89,"3,472","3,076",88.6,14,12,85.7,"3,660","3,190",87.2,107,97,90.7,"11,997","10,607 88.4",
Female,84,62,73.8,19,18,94.7,"2,772","2,495",90,"1,227","1,096",89.3,5,4,80,"2,351","2,053",87.3,97,87,89.7,"6,579","5,836 88.7",
Transgender,0,—,—,1,1,100,23,20,87,17,14,82.4,1,0,0,20,14,70,2,1,50,65,51 78.5,
Age group (yrs),,,,,,,,,,,,,,,,,,,,,,,,
13–14,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,— —,
15–19,0,—,—,0,—,—,1,1,100,0,—,—,0,—,—,4,4,100,0,—,—,5,5 100.0,
20–24,1,1,100,2,2,100,10,9,90,20,15,75,0,—,—,39,29,74.4,3,3,100,75,59 78.7,
25–29,5,3,60,4,4,100,48,41,85.4,74,62,83.8,0,—,—,229,178,77.7,7,7,100,371,299 80.6,
30–34,6,5,83.3,11,11,100,111,86,77.5,134,105,78.4,1,1,100,480,374,77.9,15,12,80,761,597 78.4,
35–39,12,11,91.7,27,25,92.6,138,111,80.4,211,177,83.9,1,0,0,598,481,80.4,11,11,100,"1,003",820 81.8,
40–44,21,13,61.9,16,16,100,213,181,85,354,301,85,2,2,100,665,542,81.5,22,18,81.8,"1,298","1,077 83.0",
45–49,16,11,68.8,36,32,88.9,345,290,84.1,446,374,83.9,2,2,100,564,473,83.9,22,19,86.4,"1,437","1,206 83.9",
50–54,26,23,88.5,14,12,85.7,692,583,84.2,688,596,86.6,4,4,100,865,756,87.4,20,16,80,"2,316","1,995 86.1",
55–59,25,23,92,13,12,92.3,"1,462","1,275",87.2,"1,028",912,88.7,7,4,57.1,"1,075",983,91.4,34,31,91.2,"3,652","3,247 88.9",
60–64,22,21,95.5,10,9,90,"1,915","1,737",90.7,936,857,91.6,1,1,100,902,841,93.2,35,32,91.4,"3,827","3,504 91.6",
≥65,15,13,86.7,7,7,100,"2,387","2,231",93.5,825,787,95.4,2,2,100,610,596,97.7,37,36,97.3,"3,896","3,685 94.6",
