RECODE - FINAL EDITED AGE,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
13 - Respondent is between 26 and 29 years old,1 - Within the past 30 days,0.0002379086854336382,8.514308586917114e-05,0.00011593294743762013,0.0004881552673339385,0.1301475457033226,0.042363349000095876,0.06591101231051429,0.2408466298010522,0.003576467802801574,0.0012832035470556826,0.001738425027220803,0.00734358339795901,64735.74675987999,13,23196.898590204437
4 - Respondent is 15 years old,3 - More than 12 months ago,2.3429671361250598e-05,1.8232367734919075e-05,4.908537710293452e-06,0.00011182783381444168,0.0018146117195475045,0.0014224621766710597,0.00037529378248141187,0.008725783401901964,0.0015054799579201754,0.0011722535249289502,0.00031473178808449166,0.007168967497657093,6375.291718099999,2,4964.850390932893
11 - Respondent is 22 or 23 years old,Overall,0.03155574916603927,0.0007416639656870493,0.030099612126005624,0.03307992754224558,0.03155574916603927,0.0007416639656870493,0.030099612126005624,0.03307992754224558,1.0,0.0,N/A,N/A,8586424.590206157,3555,192753.4727211007
16 - Respondent is between 50 and 64 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
5 - Respondent is 16 years old,Overall,0.016106284237603862,0.00048747535700620516,0.01515587882733129,0.017115252588439978,0.016106284237603862,0.00048747535700620516,0.01515587882733129,0.017115252588439978,1.0,0.0,N/A,N/A,4382573.657400187,2400,137627.93744991583
2 - Respondent is 13 years old,2 - More than 30 days ago but within the past 12 mos,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
13 - Respondent is between 26 and 29 years old,Overall,0.06652057240590167,0.0014383698163977206,0.06368913675500858,0.06946854619395096,0.06652057240590167,0.0014383698163977206,0.06368913675500858,0.06946854619395096,1.0,0.0,N/A,N/A,18100469.60556172,3989,392442.02428450837
6 - Respondent is 17 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
9 - Respondent is 20 years old,Overall,0.015218828164066743,0.0006668300337574351,0.01393589561853336,0.01661787651419541,0.015218828164066743,0.0006668300337574351,0.01393589561853336,0.01661787651419541,1.0,0.0,N/A,N/A,4141093.9000205793,1636,180520.5536883753
2 - Respondent is 13 years old,1 - Within the past 30 days,1.2978380179305223e-05,1.1878826373840797e-05,2.0644873087139183e-06,8.158375866815047e-05,0.007099801020137107,0.006704573234484988,0.0010574108570028736,0.046077713347547164,0.0008750866974317526,0.0008005409477182373,0.0001392113507710778,0.005479503581024683,3531.46053121,2,3231.62299203389
7 - Respondent is 18 years old,Overall,0.01617069889511913,0.0006145345864958839,0.014981602918007772,0.017452501705776877,0.01617069889511913,0.0006145345864958839,0.014981602918007772,0.017452501705776877,1.0,0.0,N/A,N/A,4400101.100540534,1730,162225.2662885152
8 - Respondent is 19 years old,1 - Within the past 30 days,2.4708235146034596e-05,1.8379615350839465e-05,5.545684545349856e-06,0.0001100777474626317,0.013516598425381847,0.010633493476983705,0.002753816225231846,0.0636585765608216,0.0015637660174521997,0.001169730464960034,0.0003476760597852424,0.007003654575382694,6723.1931881,2,5002.544150641286
11 - Respondent is 22 or 23 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
14 - Respondent is between 30 and 34 years old,2 - More than 30 days ago but within the past 12 mos,0.0002787401835314766,8.823723146675107e-05,0.00014758584720470132,0.0005263853916402698,0.16989348503415236,0.04680484350639307,0.09509258290831143,0.2850021074073335,0.0035344999596024313,0.0011265659487570277,0.001862242441105858,0.006698334875684431,75846.13357014,17,24109.126597891427
10 - Respondent is 21 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.015033433400178143,0.00063809667098045,0.013804146679386987,0.016370373392666726,0.015302473834666774,0.000652140468961633,0.014046328420292976,0.01666905554382093,0.9894683815055357,0.0030287920064680034,0.9812750380280681,0.9940981864702122,4090647.366453196,1596,174655.3461857233
15 - Respondent is between 35 and 49 years old,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,98 - MISSING,0.00032066834192809925,8.142975522854422e-05,0.00019254371463909585,0.0005340055780399227,1.0,0.0,N/A,N/A,0.00032066834192809925,8.142975522854422e-05,0.00019254371463909585,0.0005340055780399227,87254.92530518999,34,21984.734769683728
8 - Respondent is 19 years old,91 - NEVER USED COC/HER/STM WITH A NEEDLE,0.01571882631990741,0.0006793615014314317,0.014410995507284984,0.01714328130721609,0.016000132642301407,0.0006870387991237845,0.014677145407259123,0.01744026220074679,0.9948329489348146,0.0020969463713058074,0.9883520026489853,0.9977162287272785,4277145.065777355,1615,180916.0405218002
15 - Respondent is between 35 and 49 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
