RC-EVER USED NEEDLE TO INJECT DRUGS,AGE WHEN FIRST USED COCAINE,RECODE - FINAL EDITED AGE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,4699179.76533242,822,238538.69099460018
Overall,Overall,1 - Respondent is 12 years old,0.00032586594723764,0.00020064683828728138,9.459225017905803e-05,0.0011219587111923085,1.0,0.0,N/A,N/A,0.00032586594723764,0.00020064683828728138,9.459225017905803e-05,0.0011219587111923085,1531.30266547,3,940.9893000720048
Overall,Overall,10 - Respondent is 21 years old,0.007289988556412815,0.002435991992084741,0.003720991944538644,0.014233289646796947,1.0,0.0,N/A,N/A,0.007289988556412815,0.002435991992084741,0.003720991944538644,0.014233289646796947,34256.9667138,14,11012.981458770448
Overall,Overall,11 - Respondent is 22 or 23 years old,0.016584339477903977,0.0035686503932770993,0.010749722606166787,0.025504160379964624,1.0,0.0,N/A,N/A,0.016584339477903977,0.0035686503932770993,0.010749722606166787,0.025504160379964624,77932.79249597,37,15159.832547485554
Overall,Overall,12 - Respondent is 24 or 25 years old,0.028698383571457202,0.0040755721010254445,0.021552661745291732,0.038120945165194584,1.0,0.0,N/A,N/A,0.028698383571457202,0.0040755721010254445,0.021552661745291732,0.038120945165194584,134858.86337674005,71,18487.733912451804
Overall,Overall,13 - Respondent is between 26 and 29 years old,0.07803715014687437,0.01114771982349718,0.05838532440909794,0.10357596149556546,1.0,0.0,N/A,N/A,0.07803715014687437,0.01114771982349718,0.05838532440909794,0.10357596149556546,366710.5969144,86,56836.546166830834
Overall,Overall,14 - Respondent is between 30 and 34 years old,0.11409202927683568,0.01292557584136307,0.09058901163798752,0.14273575529592555,1.0,0.0,N/A,N/A,0.11409202927683568,0.01292557584136307,0.09058901163798752,0.14273575529592555,536138.9553634203,128,62435.64033567185
Overall,Overall,15 - Respondent is between 35 and 49 years old,0.2809482976146108,0.020193809284685962,0.24222110029830463,0.323226244667181,1.0,0.0,N/A,N/A,0.2809482976146108,0.020193809284685962,0.24222110029830463,0.323226244667181,1320226.5552551697,274,106255.00386091981
Overall,Overall,16 - Respondent is between 50 and 64 years old,0.3358923268886655,0.028505635498178986,0.28123888601217045,0.3953250591321733,1.0,0.0,N/A,N/A,0.3358923268886655,0.028505635498178986,0.28123888601217045,0.3953250591321733,1578418.4258456398,131,164539.71720377717
Overall,Overall,17 - Respondent is 65 years old or older,0.12809252136587918,0.025659855233497564,0.0847569637928643,0.18900947148129685,1.0,0.0,N/A,N/A,0.12809252136587918,0.025659855233497564,0.0847569637928643,0.18900947148129685,601929.7844929502,46,130270.24187878211
Overall,Overall,2 - Respondent is 13 years old,0.00046066838571919683,0.000461269246077539,6.161909262944908e-05,0.0034351093287617734,1.0,0.0,N/A,N/A,0.00046066838571919683,0.000461269246077539,6.161909262944908e-05,0.0034351093287617734,2164.7635567,1,2164.7635567
Overall,Overall,3 - Respondent is 14 years old,0.0008042337587999586,0.0005347858861337263,0.00021140804135087038,0.003054369516614669,1.0,0.0,N/A,N/A,0.0008042337587999586,0.0005347858861337263,0.00021140804135087038,0.003054369516614669,3779.23900595,3,2488.1570428107125
Overall,Overall,4 - Respondent is 15 years old,0.001222553208215817,0.0009238051285318284,0.0002677503571783016,0.005563254040743556,1.0,0.0,N/A,N/A,0.001222553208215817,0.0009238051285318284,0.0002677503571783016,0.005563254040743556,5744.99729809,3,4359.292207870396
Overall,Overall,5 - Respondent is 16 years old,0.0010143738191473084,0.0006581066548400378,0.00027542838137707037,0.0037284385908008233,1.0,0.0,N/A,N/A,0.0010143738191473084,0.0006581066548400378,0.00027542838137707037,0.0037284385908008233,4766.72492542,3,3048.192496538773
Overall,Overall,6 - Respondent is 17 years old,0.00018922182802834288,0.00011544288932252926,5.555725878721215e-05,0.0006442612510561277,1.0,0.0,N/A,N/A,0.00018922182802834288,0.00011544288932252926,5.555725878721215e-05,0.0006442612510561277,889.18738543,3,540.1530485227796
Overall,Overall,7 - Respondent is 18 years old,0.001619970520866313,0.001035085318513676,0.00044848637006408696,0.005833610937759109,1.0,0.0,N/A,N/A,0.001619970520866313,0.001035085318513676,0.00044848637006408696,0.005833610937759109,7612.53269209,4,4920.583211432957
Overall,Overall,8 - Respondent is 19 years old,0.0007453898156782298,0.00041180453263887717,0.00024565142160705954,0.0022594681477320034,1.0,0.0,N/A,N/A,0.0007453898156782298,0.00041180453263887717,0.00024565142160705954,0.0022594681477320034,3502.72073912,4,1931.2037781715665
Overall,Overall,9 - Respondent is 20 years old,0.003982685817666963,0.0013441761592312923,0.002020439958206798,0.00783569664673609,1.0,0.0,N/A,N/A,0.003982685817666963,0.0013441761592312923,0.002020439958206798,0.00783569664673609,18715.356606057,11,6278.694862172312
Overall,1,Overall,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,1 - Respondent is 12 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,10 - Respondent is 21 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,11 - Respondent is 22 or 23 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,12 - Respondent is 24 or 25 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,13 - Respondent is between 26 and 29 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,14 - Respondent is between 30 and 34 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,15 - Respondent is between 35 and 49 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,16 - Respondent is between 50 and 64 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,17 - Respondent is 65 years old or older,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,2 - Respondent is 13 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,3 - Respondent is 14 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,4 - Respondent is 15 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,5 - Respondent is 16 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,6 - Respondent is 17 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,7 - Respondent is 18 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,8 - Respondent is 19 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,1,9 - Respondent is 20 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0
Overall,10,Overall,0.004146416795553606,0.00283390584053383,0.0010479831342322687,0.016256503366469922,0.004146416795553606,0.00283390584053383,0.0010479831342322687,0.016256503366469922,1.0,0.0,N/A,N/A,19484.7579043,3,13306.602252850378
Overall,10,1 - Respondent is 12 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,10 - Respondent is 21 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,11 - Respondent is 22 or 23 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,12 - Respondent is 24 or 25 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,13 - Respondent is between 26 and 29 years old,0.002400881026138377,0.0024037086941545997,0.00032050886143851964,0.017744925776255225,0.030765872685248743,0.030192275576228243,0.004136419452477561,0.19522333793163146,0.5790254922546505,0.32152016345441736,0.08862214144855579,0.9511131366298642,11282.171537,1,11282.171537
Overall,10,14 - Respondent is between 30 and 34 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,15 - Respondent is between 35 and 49 years old,0.00026829737953444995,0.0002704074255849269,3.542543412831651e-05,0.0020288659171061787,0.0009549706540755956,0.0009684350804859573,0.00012442289213317564,0.007289174575631191,0.06470583946653835,0.07481777742786479,0.00574233933080264,0.4531653099263087,1260.777617,1,1260.777617
Overall,10,16 - Respondent is between 50 and 64 years old,0.0014772383898807786,0.0014738031932564283,0.00019881131315095877,0.010886887784195415,0.004397952175818599,0.004432864273585948,0.0005778286511602617,0.03264853101474981,0.3562686682788111,0.3093280823798469,0.03554802513394852,0.8925908373840992,6941.8087503,1,6941.8087503
Overall,10,17 - Respondent is 65 years old or older,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,2 - Respondent is 13 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,3 - Respondent is 14 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,4 - Respondent is 15 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,5 - Respondent is 16 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,6 - Respondent is 17 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,7 - Respondent is 18 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,8 - Respondent is 19 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,10,9 - Respondent is 20 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,11,Overall,0.0059542373547654,0.0030459407779126115,0.0021261156628870287,0.01656059382303905,0.0059542373547654,0.0030459407779126115,0.0021261156628870287,0.01656059382303905,1.0,0.0,N/A,N/A,27980.0316955,5,14105.055406119258
Overall,11,1 - Respondent is 12 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,11,10 - Respondent is 21 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,11,11 - Respondent is 22 or 23 years old,0.0004836438647371531,0.0004878186929812872,6.374504748002281e-05,0.0036593610904149896,0.029162684795588784,0.030003177016746915,0.003562266228553202,0.20153176991481647,0.081226836607391,0.08486842965760293,0.008924992417454201,0.4646459970984317,2272.7294628,1,2272.7294628
Overall,11,12 - Respondent is 24 or 25 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
Overall,11,13 - Respondent is between 26 and 29 years old,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
