RECODE - FINAL EDITED AGE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,276911974.9311242,32893,3969929.1865394134
1 - Respondent is 12 years old,0.01350869155320742,0.0007590845144826325,0.01206590446658152,0.015121360060510477,1.0,0.0,N/A,N/A,0.01350869155320742,0.0007590845144826325,0.01206590446658152,0.015121360060510477,3740718.4567340626,934,223289.8394780413
10 - Respondent is 21 years old,0.015677193257655743,0.0009237614811487359,0.013925859565201437,0.01764483572987453,1.0,0.0,N/A,N/A,0.015677193257655743,0.0009237614811487359,0.013925859565201437,0.01764483572987453,4341202.546354356,975,264641.00579067826
11 - Respondent is 22 or 23 years old,0.031097052013019683,0.0012331083403301687,0.028713497448513467,0.03367161004203993,1.0,0.0,N/A,N/A,0.031097052013019683,0.0012331083403301687,0.028713497448513467,0.03367161004203993,8611146.087461172,2071,349064.40354040934
12 - Respondent is 24 or 25 years old,0.029571574397823364,0.0011278317401474456,0.02738846131856977,0.03192299024882726,1.0,0.0,N/A,N/A,0.029571574397823364,0.0011278317401474456,0.02738846131856977,0.03192299024882726,8188723.068323938,2223,349182.6418387044
13 - Respondent is between 26 and 29 years old,0.06439784471861874,0.0016158439617456192,0.061227484136289645,0.06772052448916711,1.0,0.0,N/A,N/A,0.06439784471861874,0.0016158439617456192,0.061227484136289645,0.06772052448916711,17832534.362340584,2447,472109.9058531182
14 - Respondent is between 30 and 34 years old,0.08195145021737671,0.0028703241880372,0.07636783555330132,0.0879044557451722,1.0,0.0,N/A,N/A,0.08195145021737671,0.0028703241880372,0.07636783555330132,0.0879044557451722,22693337.92816349,3264,834520.4363289052
15 - Respondent is between 35 and 49 years old,0.22348853258309684,0.003969238121551627,0.21561745273896019,0.23156211982137645,1.0,0.0,N/A,N/A,0.22348853258309684,0.003969238121551627,0.21561745273896019,0.23156211982137645,61886650.932044245,7418,1259706.4220557343
16 - Respondent is between 50 and 64 years old,0.22170182604417754,0.0052362955406429715,0.21136299572907455,0.2323973526988809,1.0,0.0,N/A,N/A,0.22170182604417754,0.0052362955406429715,0.21136299572907455,0.2323973526988809,61391890.49572975,3111,1766982.3558726856
17 - Respondent is 65 years old or older,0.19727511088020658,0.005080879551460905,0.1872685439353192,0.20767973990204522,1.0,0.0,N/A,N/A,0.19727511088020658,0.005080879551460905,0.1872685439353192,0.20767973990204522,54627840.55859451,2984,1708541.891742412
2 - Respondent is 13 years old,0.017020693300310953,0.000874577987981853,0.015350291311873312,0.018869383230773494,1.0,0.0,N/A,N/A,0.017020693300310953,0.000874577987981853,0.015350291311873312,0.018869383230773494,4713233.79648606,1068,246709.25660768047
3 - Respondent is 14 years old,0.015563699890418357,0.000805284360034507,0.014026290999798515,0.017266671691245003,1.0,0.0,N/A,N/A,0.015563699890418357,0.000805284360034507,0.014026290999798515,0.017266671691245003,4309774.873891069,1019,228171.0918803595
4 - Respondent is 15 years old,0.015170586801035942,0.0007396331367567353,0.013754427915403546,0.016730080312925243,1.0,0.0,N/A,N/A,0.015170586801035942,0.0007396331367567353,0.013754427915403546,0.016730080312925243,4200917.151938909,934,214962.03842519128
5 - Respondent is 16 years old,0.015078916342135007,0.000708635739177643,0.01371978361464819,0.01657042771617575,1.0,0.0,N/A,N/A,0.015078916342135007,0.000708635739177643,0.01371978361464819,0.01657042771617575,4175532.5041218083,927,208798.92823288642
6 - Respondent is 17 years old,0.01387634196432029,0.0009123982149561997,0.012158164246715298,0.015833438721846674,1.0,0.0,N/A,N/A,0.01387634196432029,0.0009123982149561997,0.012158164246715298,0.015833438721846674,3842525.258159567,841,270977.3636328873
7 - Respondent is 18 years old,0.015357701832064068,0.0008024653939831754,0.01382645157093449,0.017055601933293876,1.0,0.0,N/A,N/A,0.015357701832064068,0.0008024653939831754,0.01382645157093449,0.017055601933293876,4252731.5447202055,906,226209.5598753017
8 - Respondent is 19 years old,0.015451034545388499,0.0008177684705590739,0.013891600692526058,0.017182475960911138,1.0,0.0,N/A,N/A,0.015451034545388499,0.0008177684705590739,0.013891600692526058,0.017182475960911138,4278576.490692554,883,229232.15615448277
9 - Respondent is 20 years old,0.013811749659143467,0.0009299165626645552,0.01206326604213799,0.015809607841969227,1.0,0.0,N/A,N/A,0.013811749659143467,0.0009299165626645552,0.01206326604213799,0.015809607841969227,3824638.875367699,888,259261.44009866283
