MSA,Year,LHD New Diganoses,LHD Diagnosed Prevalence,Atlas Plus Summed New Diagnoses (Data Manager),Atlas Plus Summed Prevalence (Data Manager)
New York,2010,3481,110736,2996,86621
New York,2011,3404,113319,2855,88512
New York,2012,3141,114926,2680,89303
New York,2013,2832,117618,2448,89463
New York,2014,2718,119550,2454,94182
New York,2015,2493,121616,2318,95323
New York,2016,2279,123887,2080,97100
New York,2017,2157,125884,2003,97996
New York,2018,1917,127287,1832,98635
New York,2019,1772,128419,1710,99086
New York,2020,1396,129061,1439,98098
New York,2021,1594,129660,1547,97858
Baltimore,2008,1135,15287,1133,15742
Baltimore,2009,953,15802,934,16191
Baltimore,2010,966,16345,943,14265
Baltimore,2011,749,16710,724,13238
Baltimore,2012,696,17010,682,15186
Baltimore,2013,632,17259,625,16487
Baltimore,2014,604,17461,591,16149
Baltimore,2015,557,17629,552,17640
Baltimore,2016,546,17745,526,17130
Baltimore,2017,449,17795,448,17075
Baltimore,2018,462,17837,453,16124
Baltimore,2019,404,17854,395,16374
Baltimore,2020,336,17788,325,15918
Baltimore,2021,349,17666,342,16665
Chicago,2010,1006,19374,,
Chicago,2011,966,19353,,
Chicago,2012,1034,19858,,
Chicago,2013,966,20408,,
Chicago,2014,910,20564,,
Chicago,2015,913,20349,,
Chicago,2016,886,20413,,
Chicago,2017,785,20390,,
Chicago,2018,767,20466,,
Chicago,2019,660,19628,,
Chicago,2020,627,19589,,
Chicago,2021,624,18879,,
Chicago,2022,627,18887,,
Chicago,2023,Not available,Not available,No LHD Data,No LHD Data
Houston,2010,Not available,Not available,No LHD Data,No LHD Data
Houston,2011,Not available,Not available,No LHD Data,No LHD Data
Houston,2012,Not available,Not available,No LHD Data,No LHD Data
Houston,2013,Not available,Not available,No LHD Data,No LHD Data
Houston,2014,Not available,Not available,No LHD Data,No LHD Data
Houston,2015,Not available,Not available,No LHD Data,No LHD Data
Houston,2016,Not available,27023,No LHD Data,26712
Houston,2017,1234,28225,1252,27584
Houston,2018,1350,29078,1359,28463
