"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","267694000","57146","2461000"
"1 - Within the past 30 days","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","407000","85","52000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","382000","95","59000"
"3 - More than 12 months ago","Overall","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","0.013","0.0008","0.012","0.015","3579000","630","214000"
"8 - At some point in the past 12 months LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","55000","7","38000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0009","0.98","0.984","1","0","N/A","N/A","0.982","0.0009","0.98","0.984","262914000","56253","2454000"
"97 - REFUSED","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","184000","39","47000"
"98 - MISSING","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","172000","36","57000"
"Overall","1 - NonHisp White","0.637","0.0048","0.627","0.647","0.637","0.0048","0.627","0.647","1","0","N/A","N/A","170538000","33250","1852000"
"1 - Within the past 30 days","1 - NonHisp White","0.001","0.0002","0.001","0.002","0.745","0.0644","0.597","0.852","0.002","0.0003","0.001","0.002","304000","60","48000"
