"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282007000","59069","5242000"
"1 - Within the past 30 days","Overall","Overall","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","432000","108","88000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","589000","81","125000"
"3 - More than 12 months ago","Overall","Overall","0.017","0.001","0.015","0.019","1","0","N/A","N/A","0.017","0.001","0.015","0.019","4778000","753","317000"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","54000","11","22000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","Overall","0.975","0.0012","0.972","0.977","1","0","N/A","N/A","0.975","0.0012","0.972","0.977","274930000","57839","5036000"
"97 - REFUSED","Overall","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","186000","29","60000"
"98 - MISSING","Overall","Overall","0.004","0.0004","0.003","0.005","1","0","N/A","N/A","0.004","0.0004","0.003","0.005","1039000","248","128000"
"Overall","1 - Male","Overall","0.49","0.0041","0.482","0.499","0.49","0.0041","0.482","0.499","1","0","N/A","N/A","138240000","27047","2741000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0002","0.001","0.001","0.595","0.0862","0.417","0.751","0.002","0.0004","0.001","0.003","257000","56","53000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.002","0.0004","0.001","0.003","0.76","0.0817","0.563","0.886","0.003","0.0009","0.002","0.005","448000","46","119000"
"3 - More than 12 months ago","1 - Male","Overall","0.011","0.0009","0.01","0.013","0.672","0.0286","0.612","0.726","0.023","0.0019","0.02","0.027","3209000","402","276000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0.0001","0","0","0.707","0.1762","0.304","0.93","0","0.0002","0","0.001","38000","6","22000"
