"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","75456000","282768","269000"
"1 - Within the past 30 days","Overall","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","0.002","0.0001","0.001","0.002","122000","516","8000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","3","1000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0001","0.001","0.002","1","0","N/A","N/A","0.001","0.0001","0.001","0.002","106000","469","7000"
"3 - More than 12 months ago","Overall","0.013","0.0003","0.013","0.014","1","0","N/A","N/A","0.013","0.0003","0.013","0.014","1015000","3106","26000"
"8 - At some point in the past 12 months LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","4","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","3","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","11000","32","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0004","0.981","0.983","1","0","N/A","N/A","0.982","0.0004","0.981","0.983","74116000","278263","270000"
"97 - REFUSED","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","49000","192","4000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","34000","180","4000"
"Overall","1 - Respondent is 12 years old","0.014","0.0002","0.014","0.014","0.014","0.0002","0.014","0.014","1","0","N/A","N/A","1051000","10405","14000"
"1 - Within the past 30 days","1 - Respondent is 12 years old","0","0","0","0","0","0.0003","0","0.002","0","0","0","0","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Respondent is 12 years old","0","0","0","0","0.001","0.0006","0","0.005","0","0.0001","0","0","0","1","0"
"3 - More than 12 months ago","1 - Respondent is 12 years old","0","0","0","0","0","0.0002","0","0.001","0","0.0002","0","0.001","0","3","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 years old","0","0","0","0","0.006","0.0047","0.001","0.028","0","0","0","0","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Respondent is 12 years old","0.014","0.0002","0.013","0.014","0.014","0.0002","0.014","0.015","0.994","0.0009","0.992","0.995","1045000","10342","14000"
"97 - REFUSED","1 - Respondent is 12 years old","0","0","0","0","0.027","0.0102","0.012","0.057","0.001","0.0005","0.001","0.003","1000","12","1000"
"98 - MISSING","1 - Respondent is 12 years old","0","0","0","0","0.134","0.0263","0.09","0.196","0.004","0.0008","0.003","0.006","5000","44","1000"
"Overall","10 - Respondent is 21 years old","0.015","0.0003","0.015","0.016","0.015","0.0003","0.015","0.016","1","0","N/A","N/A","1160000","8409","22000"
"1 - Within the past 30 days","10 - Respondent is 21 years old","0","0","0","0","0.009","0.0034","0.004","0.019","0.001","0.0004","0","0.002","1000","9","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is 21 years old","0","0","0","0","0.014","0.0043","0.008","0.026","0.001","0.0004","0.001","0.002","2000","14","0"
